fecha,indice_retail_moda,indice_retail_total,anio,mes,ratio_moda_vs_total,dif_moda_vs_total
2010-01-01,119.7,112.0,2010,1,1.06875,7.700000000000003
2010-02-01,117.8,112.2,2010,2,1.049910873440285,5.599999999999994
2010-03-01,120.8,114.0,2010,3,1.0596491228070175,6.799999999999997
2010-04-01,119.9,110.2,2010,4,1.088021778584392,9.700000000000003
2010-05-01,115.8,111.7,2010,5,1.036705461056401,4.099999999999994
2010-06-01,116.3,113.2,2010,6,1.0273851590106007,3.0999999999999943
2010-07-01,116.1,108.9,2010,7,1.0661157024793388,7.199999999999989
2010-08-01,115.3,109.0,2010,8,1.0577981651376147,6.299999999999997
2010-09-01,117.1,108.5,2010,9,1.07926267281106,8.599999999999994
2010-10-01,119.9,108.8,2010,10,1.1020220588235294,11.100000000000009
2010-11-01,116.3,107.7,2010,11,1.0798514391829155,8.599999999999994
2010-12-01,114.1,106.8,2010,12,1.0683520599250935,7.299999999999997
2011-01-01,112.5,105.6,2011,1,1.0653409090909092,6.900000000000006
2011-02-01,114.8,105.9,2011,2,1.0840415486307837,8.899999999999991
2011-03-01,109.0,104.3,2011,3,1.0450623202301055,4.700000000000003
2011-04-01,127.3,106.0,2011,4,1.200943396226415,21.299999999999997
2011-05-01,110.5,104.2,2011,5,1.0604606525911708,6.299999999999997
2011-06-01,110.2,103.6,2011,6,1.0637065637065637,6.6000000000000085
2011-07-01,111.1,103.8,2011,7,1.0703275529865126,7.299999999999997
2011-08-01,108.8,101.9,2011,8,1.0677134445534837,6.8999999999999915
2011-09-01,104.5,102.5,2011,9,1.0195121951219512,2.0
2011-10-01,104.8,101.9,2011,10,1.0284592737978409,2.8999999999999915
2011-11-01,104.7,100.2,2011,11,1.0449101796407185,4.5
2011-12-01,105.6,100.1,2011,12,1.054945054945055,5.5
2012-01-01,106.6,101.7,2012,1,1.048180924287119,4.8999999999999915
2012-02-01,103.2,99.4,2012,2,1.0382293762575452,3.799999999999997
2012-03-01,106.9,99.8,2012,3,1.0711422845691383,7.1000000000000085
2012-04-01,100.3,96.3,2012,4,1.0415368639667706,4.0
2012-05-01,104.2,97.7,2012,5,1.0665301944728762,6.5
2012-06-01,101.4,97.4,2012,6,1.0410677618069815,4.0
2012-07-01,100.6,96.6,2012,7,1.041407867494824,4.0
2012-08-01,99.9,98.2,2012,8,1.0173116089613035,1.7000000000000028
2012-09-01,95.2,88.6,2012,9,1.074492099322799,6.6000000000000085
2012-10-01,95.9,89.6,2012,10,1.0703125000000002,6.300000000000011
2012-11-01,92.5,89.3,2012,11,1.0358342665173572,3.200000000000003
2012-12-01,93.5,89.7,2012,12,1.0423634336677814,3.799999999999997
2013-01-01,93.4,89.9,2013,1,1.038932146829811,3.5
2013-02-01,92.9,90.4,2013,2,1.0276548672566372,2.5
2013-03-01,91.8,89.5,2013,3,1.0256983240223463,2.299999999999997
2013-04-01,92.5,90.0,2013,4,1.0277777777777777,2.5
2013-05-01,91.1,90.6,2013,5,1.0055187637969094,0.5
2013-06-01,94.4,90.8,2013,6,1.039647577092511,3.6000000000000085
2013-07-01,94.2,91.1,2013,7,1.0340285400658618,3.1000000000000085
2013-08-01,96.1,91.2,2013,8,1.0537280701754386,4.8999999999999915
2013-09-01,94.4,90.6,2013,9,1.0419426048565124,3.8000000000000114
2013-10-01,92.9,90.0,2013,10,1.0322222222222224,2.9000000000000057
2013-11-01,96.7,90.3,2013,11,1.070874861572536,6.400000000000006
2013-12-01,93.9,90.1,2013,12,1.042175360710322,3.8000000000000114
2014-01-01,94.7,89.7,2014,1,1.055741360089186,5.0
2014-02-01,96.6,90.4,2014,2,1.06858407079646,6.199999999999989
2014-03-01,95.0,90.0,2014,3,1.0555555555555556,5.0
2014-04-01,98.7,90.7,2014,4,1.0882028665931642,8.0
2014-05-01,96.7,91.0,2014,5,1.0626373626373626,5.700000000000003
2014-06-01,96.2,91.0,2014,6,1.0571428571428572,5.200000000000003
2014-07-01,95.0,91.1,2014,7,1.0428100987925357,3.9000000000000057
