anio,indicador,tamano_empresa,valor
2019,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,29.84
2019,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,2.64
2019,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,21.64
2019,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,6.51
2019,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,2.82
2019,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,1.27
2019,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,19.34
2019,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,24.54
2019,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,43.97
2019,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,31.85
2019,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,39.13
2020,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,25.16
2020,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,44.89
2020,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,33.91
2020,K.1 % de empresas que han realizado ventas por comercio electrónico,total,26.86
2020,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,22.64
2020,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,2.94
2020,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,25.55
2020,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,23.21
2020,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,5.54
2020,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,29.13
2020,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,13.05
2020,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,19.07
2020,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,22.63
2020,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,42.71
2020,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,31.19
2020,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,37.84
2021,J.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,29.37
2021,J.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,54.54
2021,J.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,40.17
2021,J.1 % de empresas que han realizado ventas por comercio electrónico,total,31.59
2021,J.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,25.97
2021,J.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,41.21
2021,J.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,32.07
2021,J.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,27.25
2021,J.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,7.17
2021,J.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,27.57
2021,J.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,13.06
2021,J.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,19.95
2021,J.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,1.85
2021,J.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,0.34
