anio,indicador,tamano_empresa,valor
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,8.29
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,23.95
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,6.33
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,20.75
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,11.52
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,11.52
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,5.01
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,36.51
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,7.21
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,8.5
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,6.88
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,63.78
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,3.85
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,11.25
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,3.96
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,18.63
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,8.19
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,5.29
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,19.65
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,87.53
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,3.08
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,3.62
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,1.21
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,27.48
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,2.5
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,22.23
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,6.36
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,25.74
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,18.19
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,25.1
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,6.69
