date,zara,mango,pull and bear,shein,stradivarius
2024-10-31,55.75,53.0,42.25,85.75,50.5
2024-11-30,68.75,64.0,52.0,92.75,59.75
2024-12-31,72.0,77.0,64.0,79.8,69.6
2025-01-31,69.0,74.75,64.75,82.75,65.25
2025-02-28,47.25,61.25,41.5,77.75,38.75
2025-03-31,48.2,63.2,38.2,79.0,39.0
2025-04-30,52.5,70.25,42.0,77.0,43.0
2025-05-31,50.75,69.25,41.5,87.25,41.0
2025-06-30,58.8,73.8,51.2,89.4,51.6
2025-07-31,51.25,62.5,45.0,79.75,44.5
2025-08-31,48.0,61.2,40.8,69.6,42.6
2025-09-30,54.0,67.0,41.5,66.0,50.5
2025-10-31,55.0,73.5,42.5,70.75,53.75
2025-11-30,62.5,81.5,51.0,89.0,62.0
