fecha,interes_trends,marca,categoria_producto,termino_busqueda
2015-07-01,37,H&M,vestidos,h&m vestidos
2015-07-01,46,H&M,zapatos,h&m zapatos
2015-07-01,24,Mango,pantalones,mango pantalones
2015-07-01,23,Mango,tops,mango tops
2015-07-01,43,Mango,vestidos,mango vestidos
2015-07-01,50,Mango,zapatos,mango zapatos
2015-07-01,20,Massimo Dutti,pantalones,massimo dutti pantalones
2015-07-01,0,Massimo Dutti,tops,massimo dutti tops
2015-07-01,34,Massimo Dutti,vestidos,massimo dutti vestidos
2015-07-01,67,Massimo Dutti,zapatos,massimo dutti zapatos
2015-07-01,0,Shein,pantalones,shein pantalones
2015-07-01,0,Shein,tops,shein tops
2015-07-01,0,Shein,vestidos,shein vestidos
2015-07-01,0,Shein,zapatos,shein zapatos
2015-07-01,28,Zara,pantalones,zara pantalones
2015-07-01,19,Zara,tops,zara tops
2015-07-01,44,Zara,vestidos,zara vestidos
2015-07-01,58,Zara,zapatos,zara zapatos
2015-08-01,22,H&M,pantalones,h&m pantalones
2015-08-01,0,H&M,tops,h&m tops
2015-08-01,31,H&M,vestidos,h&m vestidos
2015-08-01,50,H&M,zapatos,h&m zapatos
2015-08-01,18,Mango,pantalones,mango pantalones
2015-08-01,16,Mango,tops,mango tops
2015-08-01,33,Mango,vestidos,mango vestidos
2015-08-01,48,Mango,zapatos,mango zapatos
2015-08-01,15,Massimo Dutti,pantalones,massimo dutti pantalones
2015-08-01,0,Massimo Dutti,tops,massimo dutti tops
2015-08-01,22,Massimo Dutti,vestidos,massimo dutti vestidos
2015-08-01,53,Massimo Dutti,zapatos,massimo dutti zapatos
2015-08-01,0,Shein,pantalones,shein pantalones
2015-08-01,0,Shein,tops,shein tops
2015-08-01,0,Shein,vestidos,shein vestidos
2015-08-01,0,Shein,zapatos,shein zapatos
2015-08-01,20,Zara,pantalones,zara pantalones
2015-08-01,14,Zara,tops,zara tops
2015-08-01,34,Zara,vestidos,zara vestidos
2015-08-01,57,Zara,zapatos,zara zapatos
2015-09-01,37,H&M,pantalones,h&m pantalones
2015-09-01,67,H&M,tops,h&m tops
2015-09-01,38,H&M,vestidos,h&m vestidos
2015-09-01,82,H&M,zapatos,h&m zapatos
2015-09-01,23,Mango,pantalones,mango pantalones
2015-09-01,12,Mango,tops,mango tops
2015-09-01,31,Mango,vestidos,mango vestidos
2015-09-01,65,Mango,zapatos,mango zapatos
2015-09-01,21,Massimo Dutti,pantalones,massimo dutti pantalones
2015-09-01,0,Massimo Dutti,tops,massimo dutti tops
2015-09-01,25,Massimo Dutti,vestidos,massimo dutti vestidos
2015-09-01,67,Massimo Dutti,zapatos,massimo dutti zapatos
2015-09-01,0,Shein,pantalones,shein pantalones
2015-09-01,0,Shein,tops,shein tops
2015-09-01,0,Shein,vestidos,shein vestidos
2015-09-01,0,Shein,zapatos,shein zapatos
2015-09-01,30,Zara,pantalones,zara pantalones
2015-09-01,14,Zara,tops,zara tops
2015-09-01,36,Zara,vestidos,zara vestidos
2015-09-01,79,Zara,zapatos,zara zapatos
2015-10-01,44,H&M,pantalones,h&m pantalones
2015-10-01,0,H&M,tops,h&m tops
2015-10-01,37,H&M,vestidos,h&m vestidos
2015-10-01,99,H&M,zapatos,h&m zapatos
2015-10-01,30,Mango,pantalones,mango pantalones
2015-10-01,15,Mango,tops,mango tops
2015-10-01,26,Mango,vestidos,mango vestidos
2015-10-01,72,Mango,zapatos,mango zapatos
2015-10-01,26,Massimo Dutti,pantalones,massimo dutti pantalones
2015-10-01,0,Massimo Dutti,tops,massimo dutti tops
2015-10-01,19,Massimo Dutti,vestidos,massimo dutti vestidos
2015-10-01,73,Massimo Dutti,zapatos,massimo dutti zapatos
2015-10-01,0,Shein,pantalones,shein pantalones
2015-10-01,0,Shein,tops,shein tops
2015-10-01,0,Shein,vestidos,shein vestidos
2015-10-01,0,Shein,zapatos,shein zapatos
2015-10-01,32,Zara,pantalones,zara pantalones
2015-10-01,12,Zara,tops,zara tops
2015-10-01,31,Zara,vestidos,zara vestidos
2015-10-01,84,Zara,zapatos,zara zapatos
2015-11-01,40,H&M,pantalones,h&m pantalones
2015-11-01,0,H&M,tops,h&m tops
2015-11-01,51,H&M,vestidos,h&m vestidos
2015-11-01,74,H&M,zapatos,h&m zapatos
2015-11-01,35,Mango,pantalones,mango pantalones
2015-11-01,17,Mango,tops,mango tops
2015-11-01,32,Mango,vestidos,mango vestidos
2015-11-01,69,Mango,zapatos,mango zapatos
2015-11-01,32,Massimo Dutti,pantalones,massimo dutti pantalones
2015-11-01,0,Massimo Dutti,tops,massimo dutti tops
2015-11-01,23,Massimo Dutti,vestidos,massimo dutti vestidos
2015-11-01,72,Massimo Dutti,zapatos,massimo dutti zapatos
2015-11-01,0,Shein,pantalones,shein pantalones
2015-11-01,0,Shein,tops,shein tops
2015-11-01,2,Shein,vestidos,shein vestidos
2015-11-01,0,Shein,zapatos,shein zapatos
2015-11-01,34,Zara,pantalones,zara pantalones
2015-11-01,17,Zara,tops,zara tops
2015-11-01,40,Zara,vestidos,zara vestidos
2015-11-01,75,Zara,zapatos,zara zapatos
2015-12-01,39,H&M,pantalones,h&m pantalones
2015-12-01,57,H&M,tops,h&m tops
2015-12-01,86,H&M,vestidos,h&m vestidos
2015-12-01,85,H&M,zapatos,h&m zapatos
2015-12-01,30,Mango,pantalones,mango pantalones
2015-12-01,38,Mango,tops,mango tops
2015-12-01,43,Mango,vestidos,mango vestidos
2015-12-01,58,Mango,zapatos,mango zapatos
2015-12-01,30,Massimo Dutti,pantalones,massimo dutti pantalones
2015-12-01,0,Massimo Dutti,tops,massimo dutti tops
2015-12-01,21,Massimo Dutti,vestidos,massimo dutti vestidos
2015-12-01,61,Massimo Dutti,zapatos,massimo dutti zapatos
2015-12-01,0,Shein,pantalones,shein pantalones
2015-12-01,0,Shein,tops,shein tops
2015-12-01,2,Shein,vestidos,shein vestidos
2015-12-01,0,Shein,zapatos,shein zapatos
2015-12-01,41,Zara,pantalones,zara pantalones
2015-12-01,26,Zara,tops,zara tops
2015-12-01,52,Zara,vestidos,zara vestidos
2015-12-01,75,Zara,zapatos,zara zapatos
2016-01-01,33,H&M,pantalones,h&m pantalones
2016-01-01,0,H&M,tops,h&m tops
2016-01-01,26,H&M,vestidos,h&m vestidos
2016-01-01,55,H&M,zapatos,h&m zapatos
2016-01-01,28,Mango,pantalones,mango pantalones
2016-01-01,17,Mango,tops,mango tops
2016-01-01,27,Mango,vestidos,mango vestidos
2016-01-01,59,Mango,zapatos,mango zapatos
2016-01-01,31,Massimo Dutti,pantalones,massimo dutti pantalones
2016-01-01,0,Massimo Dutti,tops,massimo dutti tops
2016-01-01,18,Massimo Dutti,vestidos,massimo dutti vestidos
2016-01-01,76,Massimo Dutti,zapatos,massimo dutti zapatos
2016-01-01,0,Shein,pantalones,shein pantalones
2016-01-01,0,Shein,tops,shein tops
2016-01-01,2,Shein,vestidos,shein vestidos
2016-01-01,0,Shein,zapatos,shein zapatos
2016-01-01,31,Zara,pantalones,zara pantalones
2016-01-01,9,Zara,tops,zara tops
2016-01-01,29,Zara,vestidos,zara vestidos
2016-01-01,62,Zara,zapatos,zara zapatos
2016-02-01,24,H&M,pantalones,h&m pantalones
2016-02-01,0,H&M,tops,h&m tops
2016-02-01,33,H&M,vestidos,h&m vestidos
2016-02-01,36,H&M,zapatos,h&m zapatos
2016-02-01,22,Mango,pantalones,mango pantalones
2016-02-01,0,Mango,tops,mango tops
2016-02-01,34,Mango,vestidos,mango vestidos
