cluster,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento
0,1.828,1.715,1.689,4.252,3.972,1.816,1.693
1,3.915,3.213,3.432,4.361,4.581,3.602,2.982
