id_respuesta,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,compra_ult_6m_por_rrss_bin,cluster_k3
174,29 - 44 años,Mujer,3,3,61 - 100€,2,3,3,3.2,2.4,2.0,4.0,2.5,3.6666666666666665,3.0,1,2
258,56 años o más,Mujer,1,5,Menos de 30€,1,1,1,1.0,2.2,1.0,5.0,5.0,1.0,1.0,0,0
180,18 - 28 años,Mujer,3,2,Menos de 30€,5,2,1,3.6,2.4,3.0,5.0,5.0,2.0,4.5,0,2
204,18 - 28 años,Hombre,3,4,30 - 60€,4,3,3,4.2,3.4,3.0,2.0,3.5,3.333333333333333,3.5,1,1
289,29 - 44 años,Mujer,4,2,Más de 200€,4,4,4,4.2,3.6,3.5,4.0,4.5,4.0,3.0,1,1
74,56 años o más,Mujer,3,5,30 - 60€,1,1,1,1.2,1.6,1.0,5.0,5.0,1.3333333333333333,1.5,0,0
156,29 - 44 años,Mujer,3,2,61 - 100€,2,4,1,4.2,2.4,2.5,5.0,5.0,3.333333333333333,1.0,0,2
136,56 años o más,Mujer,5,5,30 - 60€,1,1,2,1.0,1.2,1.0,5.0,3.0,1.0,1.0,0,0
110,56 años o más,Hombre,1,5,Menos de 30€,1,1,1,1.0,1.0,1.0,5.0,5.0,1.0,1.0,0,0
29,18 - 28 años,Hombre,3,4,30 - 60€,2,1,2,2.8,2.8,3.5,5.0,4.0,2.333333333333333,2.0,0,2
155,45 - 55 años,Mujer,3,5,30 - 60€,1,2,2,3.0,2.0,1.5,5.0,3.0,2.6666666666666665,2.0,0,0
268,56 años o más,Mujer,1,2,61 - 100€,1,1,1,1.2,2.6,1.0,1.0,5.0,1.6666666666666667,4.0,0,0
232,29 - 44 años,Hombre,3,2,Menos de 30€,2,1,1,2.8,2.2,2.5,3.0,4.5,2.6666666666666665,2.5,0,2
279,29 - 44 años,Hombre,2,4,30 - 60€,2,2,1,2.0,1.8,1.5,5.0,4.0,2.0,1.0,0,0
212,18 - 28 años,Hombre,4,4,30 - 60€,2,4,3,4.0,3.8,3.5,4.0,3.5,3.333333333333333,3.0,1,1
286,29 - 44 años,Mujer,3,2,61 - 100€,4,4,3,4.0,3.4,3.5,4.0,4.5,4.0,3.0,1,1
296,29 - 44 años,Hombre,1,3,Menos de 30€,2,1,1,2.0,1.0,1.5,5.0,5.0,2.0,1.0,0,0
68,45 - 55 años,Mujer,3,5,Menos de 30€,1,2,1,1.0,1.6,1.0,5.0,3.5,1.0,1.0,0,0
118,29 - 44 años,Mujer,5,1,30 - 60€,4,2,2,3.8,4.6,5.0,4.0,4.5,4.0,3.5,0,1
187,45 - 55 años,Mujer,4,5,Menos de 30€,2,2,2,2.4,2.6,3.0,5.0,4.0,2.0,3.0,1,2
72,18 - 28 años,Mujer,5,3,30 - 60€,5,4,4,4.4,4.0,3.0,5.0,5.0,4.0,3.0,1,1
263,56 años o más,Mujer,4,4,Más de 200€,4,4,4,4.0,3.2,4.0,2.0,4.0,4.0,2.5,1,1
11,18 - 28 años,Mujer,4,2,Menos de 30€,4,4,5,4.0,3.4,3.5,4.0,5.0,4.0,3.0,0,1
47,56 años o más,Mujer,3,5,Menos de 30€,3,3,2,1.8,1.4,1.0,5.0,3.5,1.0,1.0,0,0
203,18 - 28 años,Hombre,2,3,30 - 60€,2,2,1,4.2,3.4,4.5,5.0,5.0,4.333333333333333,4.0,1,1
178,29 - 44 años,Hombre,2,3,30 - 60€,2,2,1,3.6,2.6,1.0,5.0,4.5,2.0,1.0,0,0
100,56 años o más,Hombre,2,5,30 - 60€,2,1,1,1.6,1.2,1.0,5.0,3.5,2.0,3.0,0,0
283,45 - 55 años,Hombre,2,5,Menos de 30€,1,1,1,1.2,1.8,1.5,5.0,5.0,1.6666666666666667,2.0,0,0
17,18 - 28 años,Mujer,5,3,101 - 200€,3,3,3,5.0,3.6,3.5,5.0,5.0,3.6666666666666665,5.0,1,1
247,29 - 44 años,Mujer,5,1,61 - 100€,1,3,1,3.8,2.4,3.5,5.0,4.0,3.6666666666666665,5.0,1,1
185,18 - 28 años,Hombre,4,4,30 - 60€,2,1,2,4.2,3.2,4.0,5.0,3.5,4.0,4.5,1,2
234,45 - 55 años,Hombre,2,4,30 - 60€,2,2,1,3.0,1.6,2.5,4.0,4.5,3.6666666666666665,1.0,0,0
163,29 - 44 años,Mujer,4,4,61 - 100€,3,4,5,3.6,3.8,3.5,4.0,5.0,4.0,4.0,1,1
285,18 - 28 años,Mujer,3,5,30 - 60€,2,2,2,1.4,1.0,1.0,4.0,3.0,1.0,1.0,0,0
38,56 años o más,Hombre,3,3,61 - 100€,1,1,1,1.4,1.2,1.0,5.0,1.5,1.0,1.0,0,0
50,29 - 44 años,Mujer,3,2,Menos de 30€,2,2,3,4.8,2.6,3.5,4.0,5.0,4.0,4.0,1,1
20,18 - 28 años,Mujer,4,3,Menos de 30€,5,4,5,5.0,4.6,4.5,5.0,5.0,4.666666666666667,4.5,1,1
134,45 - 55 años,Mujer,3,4,30 - 60€,3,4,2,3.4,3.4,3.5,4.0,4.0,3.0,2.5,1,2
82,18 - 28 años,Hombre,3,4,30 - 60€,4,4,2,4.4,3.8,4.0,5.0,5.0,4.0,4.5,1,1
259,56 años o más,Hombre,4,2,61 - 100€,1,2,1,1.8,2.2,1.5,4.0,3.5,2.6666666666666665,2.0,0,0
219,29 - 44 años,Mujer,5,1,101 - 200€,4,4,5,5.0,5.0,4.0,5.0,5.0,3.6666666666666665,3.0,1,1
171,29 - 44 años,Hombre,2,1,61 - 100€,3,2,2,2.8,1.8,3.5,5.0,4.0,3.333333333333333,4.0,1,2
287,29 - 44 años,Hombre,4,2,61 - 100€,4,4,4,4.0,3.6,4.0,4.0,4.5,4.0,3.0,1,1
98,18 - 28 años,Mujer,3,5,Menos de 30€,4,3,3,4.2,3.0,3.5,5.0,5.0,3.0,1.5,0,2
