cluster,freq_compra_anual,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,compra_ult_6m_por_rrss_bin
0,2.803,1.945,1.685,1.409,0.11
1,3.455,3.068,3.178,2.969,0.675
