cluster_k3,freq_compra_anual,canal_compra_moda,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,compra_ult_6m_por_rrss_bin
0,3.287,3.365,2.626,2.652,2.217,3.417,2.647,2.996,4.348,4.317,3.119,2.557,0.487
1,2.639,3.778,1.861,1.472,1.231,1.669,1.624,1.579,4.241,4.037,1.707,1.62,0.028
2,3.716,3.042,3.474,3.758,3.768,4.282,3.701,3.737,4.368,4.705,3.954,3.321,0.884
