cluster,freq_compra_anual,canal_compra_moda,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,compra_ult_6m_por_rrss_bin
0,-0.343,0.265,-0.538,-0.735,-0.664,-0.882,-0.729,-0.73,-0.095,-0.348,-0.812,-0.563,-0.704
1,0.307,-0.237,0.482,0.658,0.594,0.789,0.652,0.653,0.085,0.311,0.726,0.503,0.63
