k,inertia,silhouette
2,2247.967665830112,0.2555523106040963
3,2034.0444959214237,0.15586247709837645
4,1895.1621415387276,0.13678938536865742
5,1791.8621346144798,0.13190107570269813
6,1723.3166054765968,0.12511071460584064
