cluster,freq_compra_anual,canal_compra_moda,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,compra_ult_6m_por_rrss_bin
0,2.912,3.765,1.725,1.549,1.324,1.81,1.818,1.74,4.157,3.912,1.912,1.745,0.098
1,3.667,3.079,2.912,3.316,3.026,3.926,3.211,3.333,4.342,4.504,3.544,2.996,0.763
