k,inertia,silhouette
2,1333.01972413451,0.3530922882837414
3,1139.7699069289501,0.32053869521756234
4,967.5648956433436,0.23401367182921895
5,868.0671209003866,0.23303204196397362
6,789.4229367136194,0.2224080620322457
