fecha,valor_trends_medio,n_eventos_total,n_plataformas,n_tipos_evento
2023-10-01,43.46666666666667,0.0,0.0,0.0
2023-11-01,51.95,1.0,1.0,1.0
2023-12-01,47.85333333333333,0.0,0.0,0.0
2024-01-01,51.44642857142857,0.0,0.0,0.0
2024-02-01,46.67857142857143,0.0,0.0,0.0
2024-03-01,47.128571428571426,0.0,0.0,0.0
2024-04-01,50.07142857142857,1.0,1.0,1.0
2024-05-01,49.214285714285715,0.0,0.0,0.0
2024-06-01,49.08571428571429,0.0,0.0,0.0
2024-07-01,40.982142857142854,0.0,0.0,0.0
2024-08-01,44.142857142857146,0.0,0.0,0.0
2024-09-01,51.48571428571428,0.0,0.0,0.0
2024-10-01,51.714285714285715,0.0,0.0,0.0
2024-11-01,54.392857142857146,0.0,0.0,0.0
2024-12-01,54.542857142857144,0.0,0.0,0.0
2025-01-01,45.145833333333336,0.0,0.0,0.0
2025-02-01,32.895833333333336,0.0,0.0,0.0
2025-03-01,39.6,1.0,1.0,1.0
2025-04-01,39.666666666666664,0.0,0.0,0.0
2025-05-01,35.875,0.0,0.0,0.0
2025-06-01,42.28333333333333,0.0,0.0,0.0
2025-07-01,34.083333333333336,0.0,0.0,0.0
2025-08-01,33.1,0.0,0.0,0.0
2025-09-01,39.083333333333336,0.0,0.0,0.0
2025-10-01,40.395833333333336,0.0,0.0,0.0
2025-11-01,49.625,0.0,0.0,0.0
2025-12-01,33.0,0.0,0.0,0.0
