termino,valor_trends_medio
choni,59.25416666666667
pija,55.63061224489796
streetwear,55.58854961832061
old money,22.096666666666668
cayetana,19.224999999999998
moda preppy,2.5
minimalista elegante,2.3155737704918034
trap style,2.013888888888889
y2k outfit,1.9230769230769231
