,count,mean,std,min,25%,50%,75%,max
n_posts,65.0,36.44615384615385,36.920535769927035,9.0,22.0,27.0,33.0,173.0
likes_totales,65.0,387828.7076923077,455054.46163930214,49153.0,86456.0,153781.0,530820.0,1549713.0
comentarios_totales,65.0,8010.446153846154,19608.83387901258,425.0,1296.0,2493.0,6636.0,134299.0
engagement_total,65.0,395839.1538461539,467286.0477299755,49848.0,88919.0,154706.0,535584.0,1601278.0
likes_medios_post,65.0,11578.226148272477,12206.900986723183,2059.25,3245.4827586206898,6198.733333333334,14407.555555555557,47933.392857142855
comentarios_medios_post,65.0,150.08538913579267,136.03051131162897,22.925925925925927,58.92307692307692,101.32,220.57894736842104,839.36875
engagement_medio_post,65.0,11728.31153740827,12276.29329770264,2109.25,3271.9655172413795,6322.67175572519,14551.555555555557,48180.5
