bloque,variable,n_obs,q1,q3,iqr,lower_bound,upper_bound,n_outliers,pct_outliers,tipo_atipicidad,decision_metodologica
social,n_posts,65,22.0,33.0,11.0,5.5,49.5,5,7.69,extremo_estadistico_no_error,mantener_y_documentar
social,likes_totales,65,86456.0,530820.0,444364.0,-580090.0,1197366.0,7,10.77,extremo_estadistico_no_error,mantener_y_documentar
social,comentarios_totales,65,1296.0,6636.0,5340.0,-6714.0,14646.0,5,7.69,extremo_estadistico_no_error,mantener_y_documentar
social,engagement_total,65,88919.0,535584.0,446665.0,-581078.5,1205581.5,8,12.31,extremo_estadistico_no_error,mantener_y_documentar
social,likes_medios_post,65,3245.4828,14407.5556,11162.0728,-13497.6264,31150.6648,6,9.23,extremo_estadistico_no_error,mantener_y_documentar
social,comentarios_medios_post,65,58.9231,220.5789,161.6559,-183.5607,463.0628,1,1.54,extremo_estadistico_no_error,mantener_y_documentar
social,engagement_medio_post,65,3271.9655,14551.5556,11279.59,-13647.4195,31470.9406,6,9.23,extremo_estadistico_no_error,mantener_y_documentar
