marca,fecha_inicio_comun,fecha_fin_comun,n_meses,avg_valor_trends,avg_n_posts,avg_engagement_total
hm,2025-01-01,2025-12-01,12,27.666666666666668,23.333333333333332,203869.91666666666
mango,2025-01-01,2025-11-01,11,68.92727272727274,32.54545454545455,127513.81818181818
massimo_dutti,2025-01-01,2025-12-01,12,28.75,22.666666666666668,83616.75
zara,2025-01-01,2025-11-01,11,54.29545454545455,29.09090909090909,935373.4545454546
