termino,valor_trends_medio
ropa vintage,66.89458333333333
comprar ropa online,62.85152671755725
shein,59.805
choni,59.25416666666667
pija,55.63061224489796
streetwear,55.58854961832061
hm,52.14393939393939
mango,50.976335877862596
zara,50.60343511450382
massimo_dutti,44.97727272727273
