,valor_trends,n_posts,likes_totales,comentarios_totales,engagement_total,likes_medios_post,comentarios_medios_post,engagement_medio_post
valor_trends,1.0,0.5191740033293363,0.29008227933211217,0.4165707033289049,0.29438119933682816,0.1350470219137484,0.205801667189559,0.13591541019509923
n_posts,0.5191740033293363,1.0,0.29892592035336585,0.8812706974820319,0.310390181147177,-0.029585366616289518,0.22609607397869871,-0.027663716498895034
likes_totales,0.29008227933211217,0.29892592035336585,1.0,0.47777468397257045,0.9999065415160231,0.9179465129595711,0.6405732617666295,0.9179436457263326
comentarios_totales,0.4165707033289049,0.8812706974820319,0.47777468397257045,1.0,0.48974015025867934,0.25117192710346614,0.5962897511381754,0.2544498834824582
engagement_total,0.29438119933682816,0.310390181147177,0.9999065415160231,0.48974015025867934,1.0,0.9149443036266471,0.645030274262182,0.9149924713856458
likes_medios_post,0.1350470219137484,-0.029585366616289518,0.9179465129595711,0.25117192710346614,0.9149443036266471,1.0,0.6962275703905614,0.9999843747284956
comentarios_medios_post,0.205801667189559,0.22609607397869871,0.6405732617666295,0.5962897511381754,0.645030274262182,0.6962275703905614,1.0,0.7002294529222545
engagement_medio_post,0.13591541019509923,-0.027663716498895034,0.9179436457263326,0.2544498834824582,0.9149924713856458,0.9999843747284956,0.7002294529222545,1.0
