fecha,termino,valor_trends,anio,mes_num,grupo,valor_cero_trends
2025-07-01,hm,30.0,2025,7,marcas,False
2025-08-01,hm,28.0,2025,8,marcas,False
2025-09-01,hm,30.0,2025,9,marcas,False
2025-10-01,hm,32.0,2025,10,marcas,False
2025-11-01,hm,39.0,2025,11,marcas,False
2025-12-01,hm,35.0,2025,12,marcas,False
2014-12-01,mango,73.0,2014,12,marcas,False
2015-01-01,mango,60.5,2015,1,marcas,False
2015-02-01,mango,46.0,2015,2,marcas,False
2015-03-01,mango,51.4,2015,3,marcas,False
2015-04-01,mango,52.5,2015,4,marcas,False
2015-05-01,mango,48.2,2015,5,marcas,False
2015-06-01,mango,56.25,2015,6,marcas,False
2015-07-01,mango,47.75,2015,7,marcas,False
2015-08-01,mango,42.8,2015,8,marcas,False
2015-09-01,mango,46.5,2015,9,marcas,False
2015-10-01,mango,46.75,2015,10,marcas,False
2015-11-01,mango,61.0,2015,11,marcas,False
2015-12-01,mango,65.0,2015,12,marcas,False
2016-01-01,mango,62.6,2016,1,marcas,False
2016-02-01,mango,47.25,2016,2,marcas,False
2016-03-01,mango,49.25,2016,3,marcas,False
2016-04-01,mango,53.0,2016,4,marcas,False
2016-05-01,mango,49.8,2016,5,marcas,False
2016-06-01,mango,58.25,2016,6,marcas,False
2016-07-01,mango,50.0,2016,7,marcas,False
2016-08-01,mango,43.75,2016,8,marcas,False
2016-09-01,mango,46.5,2016,9,marcas,False
2016-10-01,mango,52.2,2016,10,marcas,False
2016-11-01,mango,68.5,2016,11,marcas,False
2016-12-01,mango,64.5,2016,12,marcas,False
2017-01-01,mango,51.2,2017,1,marcas,False
2017-02-01,mango,34.75,2017,2,marcas,False
2017-03-01,mango,37.25,2017,3,marcas,False
2017-04-01,mango,38.0,2017,4,marcas,False
2017-05-01,mango,39.75,2017,5,marcas,False
2017-06-01,mango,47.25,2017,6,marcas,False
2017-07-01,mango,39.2,2017,7,marcas,False
2017-08-01,mango,35.75,2017,8,marcas,False
2017-09-01,mango,41.25,2017,9,marcas,False
2017-10-01,mango,40.0,2017,10,marcas,False
2017-11-01,mango,65.0,2017,11,marcas,False
2017-12-01,mango,51.2,2017,12,marcas,False
2018-01-01,mango,42.25,2018,1,marcas,False
2018-02-01,mango,33.25,2018,2,marcas,False
2018-03-01,mango,34.25,2018,3,marcas,False
2018-04-01,mango,39.4,2018,4,marcas,False
2018-05-01,mango,36.25,2018,5,marcas,False
2018-06-01,mango,41.75,2018,6,marcas,False
2018-07-01,mango,35.0,2018,7,marcas,False
2018-08-01,mango,30.75,2018,8,marcas,False
2018-09-01,mango,35.0,2018,9,marcas,False
2018-10-01,mango,43.25,2018,10,marcas,False
2018-11-01,mango,59.75,2018,11,marcas,False
2018-12-01,mango,51.4,2018,12,marcas,False
2019-01-01,mango,47.25,2019,1,marcas,False
2019-02-01,mango,35.0,2019,2,marcas,False
2019-03-01,mango,35.8,2019,3,marcas,False
2019-04-01,mango,37.0,2019,4,marcas,False
2019-05-01,mango,38.0,2019,5,marcas,False
2019-06-01,mango,43.4,2019,6,marcas,False
2019-07-01,mango,34.75,2019,7,marcas,False
2019-08-01,mango,31.5,2019,8,marcas,False
2019-09-01,mango,36.6,2019,9,marcas,False
2019-10-01,mango,43.25,2019,10,marcas,False
2019-11-01,mango,61.5,2019,11,marcas,False
2019-12-01,mango,63.0,2019,12,marcas,False
2020-01-01,mango,69.25,2020,1,marcas,False
2020-02-01,mango,54.75,2020,2,marcas,False
2020-03-01,mango,32.8,2020,3,marcas,False
2020-04-01,mango,37.5,2020,4,marcas,False
2020-05-01,mango,60.2,2020,5,marcas,False
2020-06-01,mango,66.75,2020,6,marcas,False
2020-07-01,mango,55.75,2020,7,marcas,False
2020-08-01,mango,47.4,2020,8,marcas,False
2020-09-01,mango,55.0,2020,9,marcas,False
2020-10-01,mango,60.5,2020,10,marcas,False
2020-11-01,mango,67.2,2020,11,marcas,False
