grupo_edad,n_respuestas,influencia_rrss_media,impulso_tendencia_medio,confianza_influencers_media,postcompra_media,arrepentimiento_medio,pct_compra_ult_6m_rrss
18 - 28 años,148,3.581081081081081,2.8729729729729727,3.1621621621621623,3.288288288288288,2.6655405405405403,50.68
29 - 44 años,54,3.2518518518518515,2.7037037037037037,2.888888888888889,3.067901234567901,2.5833333333333335,59.26
45 - 55 años,62,2.648387096774193,2.338709677419355,2.2419354838709675,2.4892473118279566,2.2903225806451615,38.71
56 años o más,54,2.0407407407407407,2.1333333333333333,1.9814814814814814,2.074074074074074,2.009259259259259,22.22
