anio,indicador,tamano_empresa,n_filas_conflictivas,valores_distintos,decision,archivo
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,17,"[41.36, 50.85, 65.18, 51.59, 36.17, 56.51, 13.72, 5.01, 39.01, 63.64, 51.34, 96.88, 31.27, 16.57, 18.35, 12.63, 36.09]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,17,"[29.73, 32.21, 46.52, 3.38, 22.31, 25.01, 5.62, 3.05, 31.22, 41.72, 22.62, 9.45, 18.96, 26.62, 10.36, 1.02, 15.66]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,17,"[20.41, 1.95, 29.27, 16.76, 10.91, 14.83, 6.14, 3.25, 24.56, 28.61, 17.28, 8.74, 21.21, 19.94, 8.44, 11.16, 21.01]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,17,"[13.96, 9.23, 13.89, 3.86, 6.08, 8.07, 4.05, 2.38, 18.82, 18.75, 12.65, 85.26, 20.34, 17.32, 6.09, 10.84, 16.87]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,17,"[25.18, 17.19, 27.32, 15.36, 11.41, 12.85, 30.28, 46.27, 38.23, 96.88, 23.05, 13.12, 10.19, 23.48]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,17,"[19.17, 12.58, 1.87, 13.72, 5.52, 0.98, 24.37, 28.56, 14.17, 9.45, 0.17, 6.87, 9.11, 13.69]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,17,"[14.98, 10.02, 14.88, 6.46, 0.61, 8.55, 4.67, 2.29, 19.95, 20.44, 13.49, 8.74, 19.84, 17.93, 6.39, 1.05, 16.56]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,17,"[5.81, 3.79, 6.42, 2.92, 0.94, 3.14, 1.02, 1.15, 7.47, 6.58, 5.67, 43.87, 5.63, 7.17, 1.55, 14.58, 6.26]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,17,"[22.85, 28.58, 38.61, 39.31, 13.58, 30.62, 11.01, 0.07, 18.76, 1.83, 39.57, 48.46, 13.34, 0.12, 6.46, 8.89, 18.27]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,17,"[15.14, 15.17, 19.68, 12.41, 8.97, 20.31, 5.27, 0.38, 16.13, 17.43, 10.95, 4.33, 7.34, 3.01, 2.95, 22.84, 6.64]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,17,"[16.55, 20.72, 22.59, 28.55, 7.33, 25.35, 9.55, 0.88, 14.83, 14.21, 2.34, 45.13, 11.56, 4.25, 3.89, 13.66, 14.65]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,17,"[24.81, 22.79, 23.21, 22.48, 16.11, 25.07, 29.89, 4.45, 25.06, 0.2, 34.04, 48.35, 21.64, 37.86, 35.04, 51.92, 17.01]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,17,"[38.33, 51.99, 53.52, 54.84, 31.63, 57.05, 38.01, 19.29, 28.35, 23.88, 49.31, 50.28, 21.83, 13.16, 43.98, 31.14, 28.24]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,17,"[37.22, 37.82, 35.89, 31.95, 34.94, 5.47, 26.35, 41.77, 36.82, 33.68, 36.28, 44.76, 30.94, 18.98, 41.16, 59.64, 27.35]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,17,"[36.27, 46.86, 42.68, 50.28, 31.06, 55.62, 36.46, 35.24, 29.56, 25.25, 46.06, 47.62, 22.46, 28.21, 0.42, 43.93, 27.14]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2017,L.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,17,"[17.22, 14.23, 21.04, 10.26, 9.94, 1.02, 5.96, 4.07, 21.71, 24.65, 15.96, 87.31, 21.27, 18.14, 7.17, 7.14, 23.75]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,17,"[40.48, 48.43, 62.22, 48.69, 3.56, 0.54, 13.19, 6.04, 38.88, 6.42, 48.59, 95.85, 29.19, 36.74, 15.34, 11.85, 32.03]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,17,"[29.22, 33.67, 4.73, 35.74, 20.84, 27.15, 8.05, 1.14, 3.13, 3.56, 26.74, 97.06, 22.73, 32.01, 12.22, 13.37, 19.71]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1 % de empresas que han realizado ventas por comercio electrónico,total,17,"[19.61, 18.59, 26.02, 17.59, 11.85, 14.92, 6.89, 3.79, 23.62, 26.81, 18.32, 89.58, 21.91, 20.06, 8.06, 8.58, 23.37]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,17,"[14.04, 9.34, 13.83, 8.12, 4.02, 7.49, 18.87, 1.99, 13.62, 86.71, 6.72, 5.71, 23.22]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,17,"[2.51, 16.15, 22.17, 17.88, 9.55, 13.32, 30.48, 46.22, 34.18, 95.85, 1.23, 9.37, 24.22]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,17,"[19.34, 15.13, 22.06, 15.73, 0.34, 13.82, 24.52, 23.58, 15.52, 97.06, 9.61, 12.47, 17.12]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,17,"[15.12, 10.53, 15.29, 10.23, 4.03, 8.86, 0.63, 2.31, 20.04, 2.09, 1.44, 89.12, 20.12, 1.92, 7.25, 7.19, 2.21]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
2017,L.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,17,"[5.72, 3.91, 5.71, 1.37, 2.42, 2.65, 8.82, 0.06, 7.22, 6.23, 3.69, 43.76, 12.97, 0.72, 1.99, 8.64, 11.21]",conservar_primer_valor_no_nulo,comercio_electronico2017.xlsx
