serie,adf_statistic,p_value,n_lags,n_obs,critical_value_1%,critical_value_5%,critical_value_10%
zara_original,-0.932215905243853,0.777178247977159,13,118,-3.4870216863700767,-2.8863625166643136,-2.580009026141913
zara_diff1,-3.530902054800932,0.007228038544951825,13,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012
mango_original,0.14489330089218508,0.9689958382867008,12,119,-3.4865346059036564,-2.8861509858476264,-2.579896092790057
mango_diff1,-2.3582204271709224,0.15387713551905535,13,117,-3.487517288664615,-2.8865777180380032,-2.5801239192052012
