order,aic,bic,mae,rmse,mape
"(2, 1, 2)",838.2550273150707,852.192486028981,4.7781338905811435,5.382411100753742,8.91534811033536
"(2, 1, 1)",846.4912289676537,857.6411959387818,4.996828229846108,5.549097800607863,9.440584644658836
"(0, 1, 2)",852.9484264356632,861.3109016640094,5.515720765515544,6.111095082559819,10.409313406986035
"(1, 1, 2)",850.5047075551759,861.654674526304,5.38930019306955,6.1226345865798555,10.296440121763816
"(1, 1, 1)",851.055235564027,859.4177107923732,5.60033704945196,6.462811814651275,10.759267338660901
"(2, 1, 0)",878.3606079414894,886.7230831698356,16.73202467582857,17.92531203676979,32.50245744050968
"(0, 1, 1)",876.3620579584015,881.9370414439655,17.063273620998544,18.237363361175433,33.121902113863484
"(1, 1, 0)",876.6314748797366,882.2064583653007,17.417105953721503,18.57089641167854,33.78308052215688
"(0, 1, 0)",875.7544230401837,878.5419147829658,17.704545454545453,18.83871135334223,34.318214442394336
