model,accuracy,precision,recall,f1_score,roc_auc
random_forest,0.8818565400843882,0.7672413793103449,0.7542372881355932,0.7606837606837606,0.9069701009331556
logistic_regression,0.8755274261603375,0.7757009345794392,0.7033898305084746,0.7377777777777778,0.8559083984003046
