model,train_f1,train_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,gap_f1,gap_auc
A_TFIDF_LogisticRegression,0.7305751765893037,0.9203155478198243,0.8220338983050848,0.6299212598425197,0.6837606837606838,0.6557377049180327,0.852305284699651,0.07483747167127097,0.06801026312017333
B_TFIDF_RandomForest,0.6745762711864407,0.9209022296912043,0.7309322033898306,0.4725274725274725,0.7350427350427351,0.5752508361204013,0.8343324906705188,0.09932543506603941,0.08656973902068543
