grupo_edad,1,2,3,4,5
18 - 28 años,6.76,18.92,22.3,30.41,21.62
29 - 44 años,18.52,29.63,29.63,14.81,7.41
45 - 55 años,11.29,8.06,29.03,17.74,33.87
56 años o más,5.56,12.96,12.96,11.11,57.41
