fecha,valor_trends,marca,categoria_producto,termino_busqueda,anio,mes_num
2015-06-01,19,mango,tops,mango tops,2015,6
2015-06-01,48,mango,vestidos,mango vestidos,2015,6
2015-06-01,53,mango,zapatos,mango zapatos,2015,6
2015-06-01,23,massimo_dutti,pantalones,massimo dutti pantalones,2015,6
2015-06-01,0,massimo_dutti,tops,massimo dutti tops,2015,6
2015-06-01,30,massimo_dutti,vestidos,massimo dutti vestidos,2015,6
2015-06-01,59,massimo_dutti,zapatos,massimo dutti zapatos,2015,6
2015-06-01,0,shein,pantalones,shein pantalones,2015,6
2015-06-01,0,shein,tops,shein tops,2015,6
2015-06-01,0,shein,vestidos,shein vestidos,2015,6
2015-06-01,0,shein,zapatos,shein zapatos,2015,6
2015-06-01,31,zara,pantalones,zara pantalones,2015,6
2015-06-01,19,zara,tops,zara tops,2015,6
2015-06-01,42,zara,vestidos,zara vestidos,2015,6
2015-06-01,64,zara,zapatos,zara zapatos,2015,6
2015-07-01,31,hm,pantalones,h&m pantalones,2015,7
2015-07-01,0,hm,tops,h&m tops,2015,7
2015-07-01,37,hm,vestidos,h&m vestidos,2015,7
2015-07-01,46,hm,zapatos,h&m zapatos,2015,7
2015-07-01,24,mango,pantalones,mango pantalones,2015,7
2015-07-01,23,mango,tops,mango tops,2015,7
2015-07-01,43,mango,vestidos,mango vestidos,2015,7
2015-07-01,50,mango,zapatos,mango zapatos,2015,7
2015-07-01,20,massimo_dutti,pantalones,massimo dutti pantalones,2015,7
2015-07-01,0,massimo_dutti,tops,massimo dutti tops,2015,7
2015-07-01,34,massimo_dutti,vestidos,massimo dutti vestidos,2015,7
2015-07-01,67,massimo_dutti,zapatos,massimo dutti zapatos,2015,7
2015-07-01,0,shein,pantalones,shein pantalones,2015,7
2015-07-01,0,shein,tops,shein tops,2015,7
2015-07-01,0,shein,vestidos,shein vestidos,2015,7
2015-07-01,0,shein,zapatos,shein zapatos,2015,7
2015-07-01,28,zara,pantalones,zara pantalones,2015,7
2015-07-01,19,zara,tops,zara tops,2015,7
2015-07-01,44,zara,vestidos,zara vestidos,2015,7
2015-07-01,58,zara,zapatos,zara zapatos,2015,7
2015-08-01,22,hm,pantalones,h&m pantalones,2015,8
2015-08-01,0,hm,tops,h&m tops,2015,8
2015-08-01,31,hm,vestidos,h&m vestidos,2015,8
2015-08-01,50,hm,zapatos,h&m zapatos,2015,8
2015-08-01,18,mango,pantalones,mango pantalones,2015,8
2015-08-01,16,mango,tops,mango tops,2015,8
2015-08-01,33,mango,vestidos,mango vestidos,2015,8
2015-08-01,48,mango,zapatos,mango zapatos,2015,8
2015-08-01,15,massimo_dutti,pantalones,massimo dutti pantalones,2015,8
2015-08-01,0,massimo_dutti,tops,massimo dutti tops,2015,8
2015-08-01,22,massimo_dutti,vestidos,massimo dutti vestidos,2015,8
2015-08-01,53,massimo_dutti,zapatos,massimo dutti zapatos,2015,8
2015-08-01,0,shein,pantalones,shein pantalones,2015,8
2015-08-01,0,shein,tops,shein tops,2015,8
2015-08-01,0,shein,vestidos,shein vestidos,2015,8
2015-08-01,0,shein,zapatos,shein zapatos,2015,8
2015-08-01,20,zara,pantalones,zara pantalones,2015,8
2015-08-01,14,zara,tops,zara tops,2015,8
2015-08-01,34,zara,vestidos,zara vestidos,2015,8
2015-08-01,57,zara,zapatos,zara zapatos,2015,8
2015-09-01,37,hm,pantalones,h&m pantalones,2015,9
2015-09-01,67,hm,tops,h&m tops,2015,9
2015-09-01,38,hm,vestidos,h&m vestidos,2015,9
2015-09-01,82,hm,zapatos,h&m zapatos,2015,9
2015-09-01,23,mango,pantalones,mango pantalones,2015,9
2015-09-01,12,mango,tops,mango tops,2015,9
2015-09-01,31,mango,vestidos,mango vestidos,2015,9
2015-09-01,65,mango,zapatos,mango zapatos,2015,9
2015-09-01,21,massimo_dutti,pantalones,massimo dutti pantalones,2015,9
2015-09-01,0,massimo_dutti,tops,massimo dutti tops,2015,9
2015-09-01,25,massimo_dutti,vestidos,massimo dutti vestidos,2015,9
2015-09-01,67,massimo_dutti,zapatos,massimo dutti zapatos,2015,9
2015-09-01,0,shein,pantalones,shein pantalones,2015,9
2015-09-01,0,shein,tops,shein tops,2015,9
2015-09-01,0,shein,vestidos,shein vestidos,2015,9
2015-09-01,0,shein,zapatos,shein zapatos,2015,9
2015-09-01,30,zara,pantalones,zara pantalones,2015,9
2015-09-01,14,zara,tops,zara tops,2015,9
2015-09-01,36,zara,vestidos,zara vestidos,2015,9
2015-09-01,79,zara,zapatos,zara zapatos,2015,9
2015-10-01,44,hm,pantalones,h&m pantalones,2015,10
2015-10-01,0,hm,tops,h&m tops,2015,10
2015-10-01,37,hm,vestidos,h&m vestidos,2015,10
2015-10-01,99,hm,zapatos,h&m zapatos,2015,10
2015-10-01,30,mango,pantalones,mango pantalones,2015,10
2015-10-01,15,mango,tops,mango tops,2015,10
2015-10-01,26,mango,vestidos,mango vestidos,2015,10
2015-10-01,72,mango,zapatos,mango zapatos,2015,10
2015-10-01,26,massimo_dutti,pantalones,massimo dutti pantalones,2015,10
2015-10-01,0,massimo_dutti,tops,massimo dutti tops,2015,10
2015-10-01,19,massimo_dutti,vestidos,massimo dutti vestidos,2015,10
2015-10-01,73,massimo_dutti,zapatos,massimo dutti zapatos,2015,10
2015-10-01,0,shein,pantalones,shein pantalones,2015,10
2015-10-01,0,shein,tops,shein tops,2015,10
2015-10-01,0,shein,vestidos,shein vestidos,2015,10
2015-10-01,0,shein,zapatos,shein zapatos,2015,10
2015-10-01,32,zara,pantalones,zara pantalones,2015,10
2015-10-01,12,zara,tops,zara tops,2015,10
2015-10-01,31,zara,vestidos,zara vestidos,2015,10
2015-10-01,84,zara,zapatos,zara zapatos,2015,10
2015-11-01,40,hm,pantalones,h&m pantalones,2015,11
2015-11-01,0,hm,tops,h&m tops,2015,11
2015-11-01,51,hm,vestidos,h&m vestidos,2015,11
