fecha,termino,valor_trends,anio,mes_num,grupo,valor_cero_trends
2019-02-01,pija,,2019,2,sofisticado,False
2019-03-01,pija,,2019,3,sofisticado,False
2019-04-01,pija,,2019,4,sofisticado,False
2019-05-01,pija,,2019,5,sofisticado,False
2019-06-01,pija,,2019,6,sofisticado,False
2019-07-01,pija,,2019,7,sofisticado,False
2019-08-01,pija,,2019,8,sofisticado,False
2019-09-01,pija,,2019,9,sofisticado,False
2019-10-01,pija,,2019,10,sofisticado,False
2019-11-01,pija,,2019,11,sofisticado,False
2019-12-01,pija,,2019,12,sofisticado,False
2020-01-01,pija,,2020,1,sofisticado,False
2020-02-01,pija,,2020,2,sofisticado,False
2020-03-01,pija,,2020,3,sofisticado,False
2020-04-01,pija,,2020,4,sofisticado,False
2020-05-01,pija,,2020,5,sofisticado,False
2020-06-01,pija,,2020,6,sofisticado,False
2020-07-01,pija,,2020,7,sofisticado,False
2020-08-01,pija,,2020,8,sofisticado,False
2020-09-01,pija,,2020,9,sofisticado,False
2020-10-01,pija,,2020,10,sofisticado,False
2020-11-01,pija,,2020,11,sofisticado,False
2020-12-01,pija,95.0,2020,12,sofisticado,False
2021-01-01,pija,74.2,2021,1,sofisticado,False
2021-02-01,pija,83.5,2021,2,sofisticado,False
2021-03-01,pija,71.75,2021,3,sofisticado,False
2021-04-01,pija,77.75,2021,4,sofisticado,False
2021-05-01,pija,72.8,2021,5,sofisticado,False
2021-06-01,pija,74.5,2021,6,sofisticado,False
2021-07-01,pija,81.5,2021,7,sofisticado,False
2021-08-01,pija,79.6,2021,8,sofisticado,False
2021-09-01,pija,82.5,2021,9,sofisticado,False
2021-10-01,pija,83.8,2021,10,sofisticado,False
2021-11-01,pija,77.75,2021,11,sofisticado,False
2021-12-01,pija,86.5,2021,12,sofisticado,False
2022-01-01,pija,67.2,2022,1,sofisticado,False
2022-02-01,pija,66.0,2022,2,sofisticado,False
2022-03-01,pija,56.75,2022,3,sofisticado,False
2022-04-01,pija,63.5,2022,4,sofisticado,False
2022-05-01,pija,59.4,2022,5,sofisticado,False
