id_respuesta,marca_vista_rrss
224,Zara
224,Shein
225,Mango
226,Zara
226,Otra
227,Zara
227,Mango
227,Massimo Dutti
228,H&M
229,Zara
229,Shein
229,Otra
230,Zara
231,Zara
231,Shein
231,Otra
232,Otra
233,Shein
233,Mango
233,H&M
234,Zara
234,Otra
235,Zara
235,H&M
235,Massimo Dutti
236,No me fijo en marcas concretas
237,No me fijo en marcas concretas
238,Zara
238,Mango
238,Massimo Dutti
239,Shein
240,Zara
240,Shein
240,Mango
241,Zara
241,Shein
241,Mango
242,Zara
242,Shein
242,Mango
243,Zara
243,Mango
243,Massimo Dutti
244,No me fijo en marcas concretas
245,Zara
245,Shein
245,Mango
246,No me fijo en marcas concretas
247,No me fijo en marcas concretas
248,No me fijo en marcas concretas
249,No me fijo en marcas concretas
250,Zara
250,Mango
251,Zara
251,Mango
251,H&M
252,Zara
252,Mango
252,Massimo Dutti
253,Zara
253,Shein
253,H&M
254,Shein
254,Otra
255,Shein
256,Massimo Dutti
256,Otra
257,Mango
257,Massimo Dutti
258,No me fijo en marcas concretas
259,Zara
259,Mango
260,Zara
260,H&M
261,Mango
261,Massimo Dutti
261,Otra
262,Zara
263,Massimo Dutti
263,Otra
264,Shein
264,H&M
264,Otra
265,Mango
266,No me fijo en marcas concretas
267,Zara
268,Zara
269,Otra
270,No me fijo en marcas concretas
271,Zara
271,Shein
272,Zara
272,Mango
272,Massimo Dutti
273,Shein
274,Otra
275,Otra
276,No me fijo en marcas concretas
277,Zara
277,Massimo Dutti
277,Otra
278,Zara
278,Mango
278,Massimo Dutti
279,No me fijo en marcas concretas
280,Zara
280,Mango
280,Massimo Dutti
281,Zara
281,Mango
281,Otra
282,No me fijo en marcas concretas
283,No me fijo en marcas concretas
284,Zara
284,Mango
284,Otra
285,Zara
285,Shein
286,Zara
286,Mango
286,H&M
287,Zara
287,Mango
287,Otra
288,Zara
288,Shein
288,Mango
289,Mango
289,Massimo Dutti
290,No me fijo en marcas concretas
291,Zara
291,Massimo Dutti
291,Otra
292,Zara
292,Mango
292,Otra
293,Zara
293,Shein
293,Mango
294,Zara
294,Mango
294,Massimo Dutti
295,Zara
295,Mango
295,Massimo Dutti
296,No me fijo en marcas concretas
297,Mango
297,Massimo Dutti
297,Otra
298,Zara
298,Mango
298,Massimo Dutti
299,No me fijo en marcas concretas
300,Massimo Dutti
300,Otra
301,Zara
301,Massimo Dutti
301,Otra
302,No me fijo en marcas concretas
303,Zara
303,Shein
303,H&M
304,Zara
304,Otra
305,Zara
305,Shein
305,Mango
306,Zara
306,Massimo Dutti
307,Shein
307,Otra
308,Zara
308,Mango
308,Massimo Dutti
309,Zara
309,Mango
309,Massimo Dutti
310,Zara
311,Zara
311,Shein
312,Otra
313,Zara
313,Massimo Dutti
313,Otra
314,No me fijo en marcas concretas
315,Shein
315,Mango
315,Massimo Dutti
316,Zara
316,Mango
317,Zara
317,Shein
317,Otra
318,Zara
318,Shein
318,Massimo Dutti
