model,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,gap_f1,gap_auc
logistic_regression_main,0.889763779527559,0.7582417582417582,0.92,0.8313253012048193,0.9471135940409683,0.828125,0.6428571428571429,0.9473684210526315,0.7659574468085106,0.9426900584795321,0.06536785439630866,0.004423535561436154
random_forest_main,0.9094488188976378,0.782608695652174,0.96,0.8622754491017964,0.9773556797020484,0.828125,0.6666666666666666,0.8421052631578947,0.7441860465116279,0.92046783625731,0.11808940259016854,0.056887843444738406
