model,mae,rmse,mape,mejor_MAE,mejor_RMSE,mejor_MAPE
Holt-Winters_ETS-AAA,17.88225001463948,21.410461407183686,14.402467397591714,False,False,False
"SARIMA(0,1,1)(0,1,0,12)",5.978047182420763,8.953051620770093,4.7503080267003845,True,True,True
