anio,indice_retail_moda,indice_retail_total
2015,100.0,95.01666666666667
2016,101.36666666666667,98.45833333333333
2017,102.53333333333335,99.58333333333333
2018,101.125,100.25
2019,102.45,102.59166666666665
2020,68.375,95.73333333333333
2021,84.20833333333333,100.01666666666667
2022,98.66666666666667,102.21666666666665
2023,119.33333333333333,104.72500000000001
