,indice_retail_moda,indice_retail_total,ratio_moda_vs_total,dif_moda_vs_total
indice_retail_moda,1.0,0.7306086635049969,0.9841435726842732,0.976290683147029
indice_retail_total,0.7306086635049969,1.0,0.6258397152364811,0.5654858366374086
ratio_moda_vs_total,0.9841435726842732,0.6258397152364811,1.0,0.9903519034780084
dif_moda_vs_total,0.976290683147029,0.5654858366374086,0.9903519034780084,1.0
