fecha,observed,trend,seasonal,resid
2015-01-01,98.6,99.59879079254078,2.264493087930586,-3.263283880471374
2015-02-01,98.2,99.70922202797202,4.76472295066045,-6.273944978632465
2015-03-01,99.6,99.81965326340325,-2.6956953347578363,2.476042071354577
2015-04-01,98.3,99.9300844988345,-1.2371321386946414,-0.3929523601398648
2015-05-01,101.8,100.04051573426574,-2.2091244981869966,3.968608763921255
2015-06-01,97.9,100.15094696969697,-0.07695019101269263,-2.173996778684276
2015-07-01,99.9,100.13333333333333,-0.08993527691443925,-0.14339805641888081
2015-08-01,99.9,100.34583333333333,-0.34474135047051535,-0.1010919828628104
2015-09-01,102.2,100.48333333333332,0.5111007241215618,1.205565942545121
2015-10-01,103.2,100.64166666666667,-0.649260904990072,3.2075942383234093
2015-11-01,99.7,100.63333333333333,-1.054992904472074,0.12165957113875114
2015-12-01,100.7,100.72916666666667,0.8175158367866703,-0.8466825034533388
2016-01-01,101.8,101.09166666666665,2.264493087930586,-1.556159754597243
2016-02-01,100.1,101.32499999999999,4.76472295066045,-5.989722950660444
2016-03-01,101.0,101.32499999999999,-2.6956953347578363,2.3706953347578477
2016-04-01,100.7,101.19583333333333,-1.2371321386946414,0.7412988053613185
2016-05-01,99.2,101.20416666666667,-2.2091244981869966,0.20495783152033376
2016-06-01,102.8,101.31666666666666,-0.07695019101269263,1.560283524346027
2016-07-01,103.7,101.36666666666666,-0.08993527691443925,2.4232686102477823
2016-08-01,101.7,101.47916666666666,-0.34474135047051535,0.565574683803861
2016-09-01,100.4,101.625,0.5111007241215618,-1.736100724121556
2016-10-01,101.9,101.90833333333333,-0.649260904990072,0.6409275716567463
2016-11-01,101.2,102.3875,-1.054992904472074,-0.13250709552792594
2016-12-01,101.9,102.60000000000001,0.8175158367866703,-1.5175158367866732
2017-01-01,101.8,102.55000000000001,2.264493087930586,-3.0144930879306
2017-02-01,102.8,102.59166666666667,4.76472295066045,-4.556389617327121
2017-03-01,101.8,102.9125,-2.6956953347578363,1.5831953347578391
2017-04-01,106.7,102.74583333333334,-1.2371321386946414,5.191298805361307
2017-05-01,104.7,102.42083333333332,-2.2091244981869966,4.488291164853679
2017-06-01,102.4,102.52083333333331,-0.07695019101269263,-0.043883142320616075
2017-07-01,102.9,102.51249999999999,-0.08993527691443925,0.4774352769144563
2017-08-01,103.5,102.42916666666666,-0.34474135047051535,1.4155746838038552
2017-09-01,106.3,102.39583333333333,0.5111007241215618,3.393065942545107
2017-10-01,92.0,102.17916666666667,-0.649260904990072,-9.529905761676602
2017-11-01,103.3,101.7125,-1.054992904472074,2.6424929044720655
2017-12-01,102.2,101.45833333333334,0.8175158367866703,-0.07584917012001025
2018-01-01,101.3,101.32499999999999,2.264493087930586,-2.2894930879305773
2018-02-01,101.3,101.11249999999998,4.76472295066045,-4.577222950660436
2018-03-01,102.5,100.65,-2.6956953347578363,4.545695334757831
2018-04-01,100.8,100.76666666666665,-1.2371321386946414,1.270465472027987
2018-05-01,99.4,101.19583333333333,-2.2091244981869966,0.41329116485367656
2018-06-01,101.6,101.14166666666665,-0.07695019101269263,0.5352835243460354
2018-07-01,100.5,101.19583333333333,-0.08993527691443925,-0.6058980564188865
2018-08-01,100.8,101.4125,-0.34474135047051535,-0.2677586495294818
2018-09-01,97.9,101.51249999999999,0.5111007241215618,-4.123600724121545
2018-10-01,103.2,101.52499999999999,-0.649260904990072,2.3242609049900835
2018-11-01,102.4,101.70833333333333,-1.054992904472074,1.7466595711387511
2018-12-01,101.8,101.82083333333333,0.8175158367866703,-0.8383491701199989
2019-01-01,103.0,101.85833333333332,2.264493087930586,-1.1228264212639059
2019-02-01,104.8,101.975,4.76472295066045,-1.939722950660447
2019-03-01,101.4,102.25416666666666,-2.6956953347578363,1.841528668091179
2019-04-01,102.2,102.38333333333333,-1.2371321386946414,1.0537988053613185
2019-05-01,102.4,102.32083333333333,-2.2091244981869966,2.2882911648536766
2019-06-01,101.3,102.39583333333333,-0.07695019101269263,-1.0188831423206388
2019-07-01,101.7,102.5375,-0.08993527691443925,-0.7475647230855522
2019-08-01,102.4,102.76249999999999,-0.34474135047051535,-0.017758649529467596
2019-09-01,103.0,100.27499999999999,0.5111007241215618,2.213899275878447
2019-10-01,101.2,93.82083333333333,-0.649260904990072,8.02842757165675
2019-11-01,102.9,87.12083333333334,-1.054992904472074,16.83415957113874
2019-12-01,103.1,82.95416666666665,0.8175158367866703,19.328317496546674
2020-01-01,105.1,80.60833333333332,2.264493087930586,22.22717357873609
2020-02-01,108.1,78.49166666666666,4.76472295066045,24.843610382672885
2020-03-01,38.4,76.39166666666667,-2.6956953347578363,-35.29597133190883
2020-04-01,10.3,74.35416666666666,-1.2371321386946414,-62.81703452797202
2020-05-01,33.5,71.83333333333333,-2.2091244981869966,-36.124208835146334
2020-06-01,70.2,69.34583333333333,-0.07695019101269263,0.931116857679364
2020-07-01,76.5,66.875,-0.08993527691443925,9.714935276914439
2020-08-01,76.8,63.9875,-0.34474135047051535,13.157241350470516
2020-09-01,78.2,64.44166666666666,0.5111007241215618,13.247232609211778
2020-10-01,77.1,69.1875,-0.649260904990072,8.561760904990066
2020-11-01,66.5,74.13333333333333,-1.054992904472074,-6.578340428861251
2020-12-01,79.8,76.75416666666666,0.8175158367866703,2.228317496546664
2021-01-01,69.1,77.64166666666667,2.264493087930586,-10.806159754597257
2021-02-01,74.8,78.26249999999999,4.76472295066045,-8.22722295066044
2021-03-01,82.6,79.08333333333331,-2.6956953347578363,6.212362001424516
2021-04-01,80.0,80.2875,-1.2371321386946414,0.9496321386946471
2021-05-01,82.5,82.1125,-2.2091244981869966,2.5966244981869995
2021-06-01,84.1,83.725,-0.07695019101269263,0.4519501910126926
2021-07-01,83.9,85.09166666666667,-0.08993527691443925,-1.1017313897522236
2021-08-01,84.3,87.19999999999999,-0.34474135047051535,-2.5552586495294762
2021-09-01,90.4,88.75416666666666,0.5111007241215618,1.134732609211781
2021-10-01,93.8,90.47083333333333,-0.649260904990072,3.978427571656738
2021-11-01,93.6,92.82499999999999,-1.054992904472074,1.8299929044720797
2021-12-01,91.4,94.22916666666666,0.8175158367866703,-3.646682503453322
2022-01-01,90.3,95.1,2.264493087930586,-7.0644930879305825
2022-02-01,104.2,96.03333333333333,4.76472295066045,3.4019437160062216
2022-03-01,90.5,96.78333333333333,-2.6956953347578363,-3.587637998575495
2022-04-01,113.3,97.19166666666666,-1.2371321386946414,17.345465472027975
2022-05-01,105.7,97.475,-2.2091244981869966,10.434124498187005
2022-06-01,94.6,98.13333333333333,-0.07695019101269263,-3.4563831423206386
2022-07-01,94.3,99.75,-0.08993527691443925,-5.360064723085563
2022-08-01,96.3,101.35,-0.34474135047051535,-4.7052586495294815
2022-09-01,96.4,103.38749999999999,0.5111007241215618,-7.498600724121545
2022-10-01,97.6,106.29583333333332,-0.649260904990072,-8.046572428343254
2022-11-01,96.6,108.37083333333334,-1.054992904472074,-10.715840428861268
2022-12-01,104.2,110.00416666666666,0.8175158367866703,-6.62168250345333
2023-01-01,116.3,111.70416666666665,2.264493087930586,2.33134024540276
2023-02-01,116.6,113.07499999999999,4.76472295066045,-1.2397229506604441
2023-03-01,127.0,114.39999999999999,-2.6956953347578363,15.295695334757845
2023-04-01,146.6,115.7375,-1.2371321386946414,32.09963213869464
2023-05-01,122.2,117.23749999999998,-2.2091244981869966,7.1716244981870165
2023-06-01,117.3,118.72083333333333,-0.07695019101269263,-1.3438831423206417
2023-07-01,112.4,121.70531274281271,-0.08993527691443925,-9.215377465898264
2023-08-01,111.1,123.49440073815072,-0.34474135047051535,-12.049659387680206
2023-09-01,113.4,125.28348873348872,0.5111007241215618,-12.39458945761028
2023-10-01,112.7,127.0725767288267,-0.649260904990072,-13.723315823836629
2023-11-01,117.5,128.8616647241647,-1.054992904472074,-10.306671819692637
2023-12-01,118.9,130.6507527195027,0.8175158367866703,-12.568268556289356
