date,comprar ropa online
2018-12-30,84
2019-01-06,86
2019-01-13,77
2019-01-20,77
2019-01-27,88
2019-02-03,89
2019-02-10,64
2019-02-17,61
2019-02-24,75
2019-03-03,81
2019-03-10,89
2019-03-17,100
2019-03-24,92
2019-03-31,77
2019-04-07,99
2019-04-14,50
2019-04-21,69
2019-04-28,91
2019-05-05,100
2019-05-12,90
2019-05-19,70
2019-05-26,69
2019-06-02,73
2019-06-09,82
2019-06-16,62
2019-06-23,78
2019-06-30,66
2019-07-07,59
2019-07-14,57
2019-07-21,74
2019-07-28,61
2019-08-04,63
2019-08-11,64
2019-08-18,55
2019-08-25,65
2019-09-01,59
2019-09-08,77
2019-09-15,75
2019-09-22,78
2019-09-29,79
2019-10-06,86
2019-10-13,66
2019-10-20,88
2019-10-27,82
2019-11-03,76
2019-11-10,90
2019-11-17,77
2019-11-24,80
2019-12-01,52
2019-12-08,81
2019-12-15,64
2019-12-22,65
2019-12-29,62
