date,choni
2017-12-31,85
2018-01-07,60
2018-01-14,87
2018-01-21,79
2018-01-28,86
2018-02-04,100
2018-02-11,88
2018-02-18,66
2018-02-25,70
2018-03-04,64
2018-03-11,54
2018-03-18,76
2018-03-25,96
2018-04-01,89
2018-04-08,84
2018-04-15,67
2018-04-22,68
2018-04-29,85
2018-05-06,73
2018-05-13,68
2018-05-20,69
2018-05-27,54
2018-06-03,59
2018-06-10,71
2018-06-17,70
2018-06-24,62
2018-07-01,65
2018-07-08,72
2018-07-15,77
2018-07-22,74
2018-07-29,73
2018-08-05,88
2018-08-12,77
2018-08-19,92
2018-08-26,74
2018-09-02,62
2018-09-09,75
2018-09-16,59
2018-09-23,64
2018-09-30,75
2018-10-07,57
2018-10-14,96
2018-10-21,70
2018-10-28,65
2018-11-04,78
2018-11-11,78
2018-11-18,81
2018-11-25,63
2018-12-02,62
2018-12-09,45
2018-12-16,75
2018-12-23,77
2018-12-30,80
