date,ropa vintage
2015-12-27,57
2016-01-03,73
2016-01-10,64
2016-01-17,61
2016-01-24,68
2016-01-31,68
2016-02-07,79
2016-02-14,100
2016-02-21,98
2016-02-28,61
2016-03-06,75
2016-03-13,59
2016-03-20,84
2016-03-27,74
2016-04-03,63
2016-04-10,66
2016-04-17,52
2016-04-24,58
2016-05-01,63
2016-05-08,70
2016-05-15,54
2016-05-22,56
2016-05-29,59
2016-06-05,84
2016-06-12,48
2016-06-19,58
2016-06-26,72
2016-07-03,55
2016-07-10,50
2016-07-17,55
2016-07-24,51
2016-07-31,67
2016-08-07,60
2016-08-14,68
2016-08-21,54
2016-08-28,60
2016-09-04,65
2016-09-11,58
2016-09-18,60
2016-09-25,61
2016-10-02,62
2016-10-09,60
2016-10-16,65
2016-10-23,50
2016-10-30,76
2016-11-06,65
2016-11-13,68
2016-11-20,57
2016-11-27,60
2016-12-04,75
2016-12-11,61
2016-12-18,73
2016-12-25,64
