date,comprar ropa online
2017-12-31,59
2018-01-07,100
2018-01-14,79
2018-01-21,61
2018-01-28,75
2018-02-04,74
2018-02-11,65
2018-02-18,69
2018-02-25,69
2018-03-04,69
2018-03-11,70
2018-03-18,58
2018-03-25,79
2018-04-01,67
2018-04-08,77
2018-04-15,65
2018-04-22,68
2018-04-29,77
2018-05-06,61
2018-05-13,76
2018-05-20,56
2018-05-27,67
2018-06-03,70
2018-06-10,59
2018-06-17,53
2018-06-24,51
2018-07-01,63
2018-07-08,51
2018-07-15,47
2018-07-22,43
2018-07-29,51
2018-08-05,40
2018-08-12,61
2018-08-19,59
2018-08-26,58
2018-09-02,61
2018-09-09,60
2018-09-16,66
2018-09-23,69
2018-09-30,61
2018-10-07,85
2018-10-14,71
2018-10-21,54
2018-10-28,85
2018-11-04,73
2018-11-11,65
2018-11-18,70
2018-11-25,82
2018-12-02,62
2018-12-09,55
2018-12-16,51
2018-12-23,51
2018-12-30,61
