date,stradivarius
2014-12-28,51
2015-01-04,88
2015-01-11,49
2015-01-18,49
2015-01-25,45
2015-02-01,43
2015-02-08,34
2015-02-15,33
2015-02-22,32
2015-03-01,32
2015-03-08,38
2015-03-15,37
2015-03-22,39
2015-03-29,42
2015-04-05,38
2015-04-12,38
2015-04-19,39
2015-04-26,37
2015-05-03,40
2015-05-10,40
2015-05-17,36
2015-05-24,36
2015-05-31,41
2015-06-07,38
2015-06-14,35
2015-06-21,37
2015-06-28,67
2015-07-05,43
2015-07-12,43
2015-07-19,38
2015-07-26,39
2015-08-02,38
2015-08-09,37
2015-08-16,37
2015-08-23,39
2015-08-30,40
2015-09-06,41
2015-09-13,40
2015-09-20,41
2015-09-27,44
2015-10-04,45
2015-10-11,47
2015-10-18,45
2015-10-25,42
2015-11-01,44
2015-11-08,43
2015-11-15,46
2015-11-22,100
2015-11-29,57
2015-12-06,55
2015-12-13,56
2015-12-20,56
2015-12-27,54
