date,moda sostenible
2021-12-26,0
2022-01-02,50
2022-01-09,47
2022-01-16,50
2022-01-23,74
2022-01-30,51
2022-02-06,50
2022-02-13,56
2022-02-20,59
2022-02-27,67
2022-03-06,51
2022-03-13,54
2022-03-20,66
2022-03-27,44
2022-04-03,41
2022-04-10,46
2022-04-17,60
2022-04-24,100
2022-05-01,57
2022-05-08,67
2022-05-15,50
2022-05-22,91
2022-05-29,71
2022-06-05,49
2022-06-12,40
2022-06-19,0
2022-06-26,51
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,47
2022-08-28,0
2022-09-04,34
2022-09-11,54
2022-09-18,47
2022-09-25,40
2022-10-02,60
2022-10-09,54
2022-10-16,41
2022-10-23,44
2022-10-30,37
2022-11-06,74
2022-11-13,46
2022-11-20,59
2022-11-27,61
2022-12-04,78
2022-12-11,62
2022-12-18,38
2022-12-25,44
