date,zara
2021-12-26,70
2022-01-02,100
2022-01-09,69
2022-01-16,60
2022-01-23,59
2022-01-30,55
2022-02-06,57
2022-02-13,50
2022-02-20,46
2022-02-27,47
2022-03-06,47
2022-03-13,48
2022-03-20,50
2022-03-27,52
2022-04-03,59
2022-04-10,57
2022-04-17,55
2022-04-24,58
2022-05-01,59
2022-05-08,63
2022-05-15,60
2022-05-22,56
2022-05-29,55
2022-06-05,55
2022-06-12,56
2022-06-19,80
2022-06-26,64
2022-07-03,58
2022-07-10,55
2022-07-17,49
2022-07-24,52
2022-07-31,52
2022-08-07,48
2022-08-14,46
2022-08-21,48
2022-08-28,49
2022-09-04,49
2022-09-11,52
2022-09-18,53
2022-09-25,59
2022-10-02,56
2022-10-09,55
2022-10-16,50
2022-10-23,51
2022-10-30,57
2022-11-06,58
2022-11-13,63
2022-11-20,97
2022-11-27,66
2022-12-04,73
2022-12-11,66
2022-12-18,59
2022-12-25,73
