date,stradivarius
2023-01-01,97
2023-01-08,84
2023-01-15,64
2023-01-22,64
2023-01-29,58
2023-02-05,52
2023-02-12,44
2023-02-19,40
2023-02-26,45
2023-03-05,47
2023-03-12,46
2023-03-19,52
2023-03-26,54
2023-04-02,54
2023-04-09,49
2023-04-16,49
2023-04-23,51
2023-04-30,50
2023-05-07,48
2023-05-14,42
2023-05-21,38
2023-05-28,39
2023-06-04,42
2023-06-11,44
2023-06-18,69
2023-06-25,59
2023-07-02,53
2023-07-09,46
2023-07-16,45
2023-07-23,40
2023-07-30,38
2023-08-06,32
2023-08-13,29
2023-08-20,29
2023-08-27,39
2023-09-03,41
2023-09-10,39
2023-09-17,44
2023-09-24,45
2023-10-01,43
2023-10-08,45
2023-10-15,45
2023-10-22,52
2023-10-29,52
2023-11-05,55
2023-11-12,53
2023-11-19,100
2023-11-26,63
2023-12-03,71
2023-12-10,65
2023-12-17,65
2023-12-24,74
2023-12-31,78
