date,streetwear
2021-12-26,65
2022-01-02,100
2022-01-09,72
2022-01-16,62
2022-01-23,63
2022-01-30,67
2022-02-06,44
2022-02-13,64
2022-02-20,45
2022-02-27,61
2022-03-06,73
2022-03-13,61
2022-03-20,63
2022-03-27,88
2022-04-03,78
2022-04-10,81
2022-04-17,84
2022-04-24,65
2022-05-01,67
2022-05-08,62
2022-05-15,56
2022-05-22,60
2022-05-29,51
2022-06-05,62
2022-06-12,49
2022-06-19,50
2022-06-26,63
2022-07-03,63
2022-07-10,52
2022-07-17,65
2022-07-24,56
2022-07-31,61
2022-08-07,70
2022-08-14,67
2022-08-21,69
2022-08-28,77
2022-09-04,72
2022-09-11,65
2022-09-18,62
2022-09-25,76
2022-10-02,71
2022-10-09,68
2022-10-16,56
2022-10-23,56
2022-10-30,70
2022-11-06,64
2022-11-13,74
2022-11-20,63
2022-11-27,55
2022-12-04,58
2022-12-11,69
2022-12-18,54
2022-12-25,84
