date,zara online
2017-01-01,96
2017-01-08,71
2017-01-15,53
2017-01-22,43
2017-01-29,41
2017-02-05,39
2017-02-12,34
2017-02-19,33
2017-02-26,34
2017-03-05,37
2017-03-12,41
2017-03-19,37
2017-03-26,40
2017-04-02,47
2017-04-09,43
2017-04-16,45
2017-04-23,44
2017-04-30,43
2017-05-07,41
2017-05-14,41
2017-05-21,40
2017-05-28,37
2017-06-04,36
2017-06-11,38
2017-06-18,32
2017-06-25,63
2017-07-02,52
2017-07-09,43
2017-07-16,37
2017-07-23,33
2017-07-30,35
2017-08-06,36
2017-08-13,32
2017-08-20,34
2017-08-27,40
2017-09-03,39
2017-09-10,42
2017-09-17,42
2017-09-24,41
2017-10-01,40
2017-10-08,41
2017-10-15,42
2017-10-22,38
2017-10-29,45
2017-11-05,50
2017-11-12,53
2017-11-19,100
2017-11-26,59
2017-12-03,55
2017-12-10,51
2017-12-17,47
2017-12-24,50
2017-12-31,74
