date,zara online
2021-12-26,44
2022-01-02,100
2022-01-09,67
2022-01-16,60
2022-01-23,55
2022-01-30,53
2022-02-06,47
2022-02-13,43
2022-02-20,38
2022-02-27,40
2022-03-06,40
2022-03-13,38
2022-03-20,43
2022-03-27,41
2022-04-03,45
2022-04-10,43
2022-04-17,44
2022-04-24,40
2022-05-01,42
2022-05-08,45
2022-05-15,45
2022-05-22,43
2022-05-29,43
2022-06-05,39
2022-06-12,41
2022-06-19,64
2022-06-26,51
2022-07-03,52
2022-07-10,47
2022-07-17,46
2022-07-24,43
2022-07-31,41
2022-08-07,37
2022-08-14,34
2022-08-21,36
2022-08-28,35
2022-09-04,37
2022-09-11,37
2022-09-18,37
2022-09-25,43
2022-10-02,43
2022-10-09,40
2022-10-16,39
2022-10-23,41
2022-10-30,41
2022-11-06,46
2022-11-13,47
2022-11-20,90
2022-11-27,53
2022-12-04,60
2022-12-11,51
2022-12-18,45
2022-12-25,52
