date,shein
2021-12-26,32
2022-01-02,39
2022-01-09,38
2022-01-16,36
2022-01-23,38
2022-01-30,39
2022-02-06,50
2022-02-13,44
2022-02-20,40
2022-02-27,43
2022-03-06,42
2022-03-13,43
2022-03-20,45
2022-03-27,48
2022-04-03,49
2022-04-10,49
2022-04-17,58
2022-04-24,55
2022-05-01,61
2022-05-08,75
2022-05-15,89
2022-05-22,87
2022-05-29,100
2022-06-05,89
2022-06-12,84
2022-06-19,68
2022-06-26,76
2022-07-03,70
2022-07-10,63
2022-07-17,62
2022-07-24,62
2022-07-31,58
2022-08-07,56
2022-08-14,56
2022-08-21,55
2022-08-28,53
2022-09-04,51
2022-09-11,52
2022-09-18,56
2022-09-25,61
2022-10-02,57
2022-10-09,58
2022-10-16,55
2022-10-23,50
2022-10-30,54
2022-11-06,65
2022-11-13,64
2022-11-20,66
2022-11-27,61
2022-12-04,62
2022-12-11,55
2022-12-18,40
2022-12-25,43
