date,comprar ropa online
2014-12-28,97
2015-01-04,97
2015-01-11,100
2015-01-18,87
2015-01-25,81
2015-02-01,80
2015-02-08,88
2015-02-15,74
2015-02-22,77
2015-03-01,74
2015-03-08,73
2015-03-15,79
2015-03-22,81
2015-03-29,80
2015-04-05,78
2015-04-12,75
2015-04-19,67
2015-04-26,77
2015-05-03,73
2015-05-10,67
2015-05-17,70
2015-05-24,53
2015-05-31,59
2015-06-07,58
2015-06-14,48
2015-06-21,50
2015-06-28,63
2015-07-05,55
2015-07-12,58
2015-07-19,51
2015-07-26,56
2015-08-02,55
2015-08-09,65
2015-08-16,63
2015-08-23,64
2015-08-30,55
2015-09-06,68
2015-09-13,76
2015-09-20,77
2015-09-27,75
2015-10-04,85
2015-10-11,82
2015-10-18,87
2015-10-25,68
2015-11-01,77
2015-11-08,76
2015-11-15,69
2015-11-22,84
2015-11-29,67
2015-12-06,80
2015-12-13,58
2015-12-20,61
2015-12-27,61
