date,moda sostenible
2017-12-31,0
2018-01-07,48
2018-01-14,52
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,55
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,47
2018-03-18,0
2018-03-25,100
2018-04-01,73
2018-04-08,50
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,42
2018-05-13,68
2018-05-20,0
2018-05-27,44
2018-06-03,0
2018-06-10,50
2018-06-17,0
2018-06-24,43
2018-07-01,0
2018-07-08,51
2018-07-15,0
2018-07-22,47
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,51
2018-09-09,0
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,56
2018-10-14,0
2018-10-21,48
2018-10-28,0
2018-11-04,57
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,52
2018-12-23,0
2018-12-30,0
