date,comprar ropa online
2023-01-01,88
2023-01-08,80
2023-01-15,75
2023-01-22,64
2023-01-29,62
2023-02-05,77
2023-02-12,58
2023-02-19,73
2023-02-26,64
2023-03-05,77
2023-03-12,77
2023-03-19,50
2023-03-26,91
2023-04-02,100
2023-04-09,77
2023-04-16,68
2023-04-23,70
2023-04-30,58
2023-05-07,80
2023-05-14,82
2023-05-21,48
2023-05-28,65
2023-06-04,51
2023-06-11,45
2023-06-18,50
2023-06-25,59
2023-07-02,54
2023-07-09,71
2023-07-16,44
2023-07-23,72
2023-07-30,39
2023-08-06,67
2023-08-13,37
2023-08-20,53
2023-08-27,62
2023-09-03,72
2023-09-10,69
2023-09-17,44
2023-09-24,53
2023-10-01,45
2023-10-08,47
2023-10-15,57
2023-10-22,87
2023-10-29,51
2023-11-05,66
2023-11-12,59
2023-11-19,77
2023-11-26,52
2023-12-03,68
2023-12-10,74
2023-12-17,62
2023-12-24,54
2023-12-31,48
