date,moda sostenible
2024-12-29,0
2025-01-05,0
2025-01-12,66
2025-01-19,76
2025-01-26,65
2025-02-02,57
2025-02-09,72
2025-02-16,62
2025-02-23,0
2025-03-02,55
2025-03-09,78
2025-03-16,100
2025-03-23,70
2025-03-30,63
2025-04-06,87
2025-04-13,0
2025-04-20,78
2025-04-27,0
2025-05-04,74
2025-05-11,0
2025-05-18,0
2025-05-25,60
2025-06-01,66
2025-06-08,60
2025-06-15,0
2025-06-22,66
2025-06-29,0
2025-07-06,0
2025-07-13,0
2025-07-20,0
2025-07-27,0
2025-08-03,0
2025-08-10,0
2025-08-17,0
2025-08-24,0
2025-08-31,0
2025-09-07,0
2025-09-14,0
2025-09-21,62
2025-09-28,85
2025-10-05,67
2025-10-12,50
2025-10-19,62
2025-10-26,42
2025-11-02,52
2025-11-09,55
