date,pull and bear
2021-12-26,71
2022-01-02,100
2022-01-09,70
2022-01-16,57
2022-01-23,54
2022-01-30,49
2022-02-06,45
2022-02-13,41
2022-02-20,36
2022-02-27,35
2022-03-06,34
2022-03-13,39
2022-03-20,38
2022-03-27,40
2022-04-03,43
2022-04-10,41
2022-04-17,39
2022-04-24,39
2022-05-01,43
2022-05-08,46
2022-05-15,47
2022-05-22,41
2022-05-29,48
2022-06-05,49
2022-06-12,49
2022-06-19,62
2022-06-26,59
2022-07-03,58
2022-07-10,53
2022-07-17,48
2022-07-24,49
2022-07-31,46
2022-08-07,38
2022-08-14,36
2022-08-21,31
2022-08-28,37
2022-09-04,36
2022-09-11,37
2022-09-18,38
2022-09-25,49
2022-10-02,46
2022-10-09,45
2022-10-16,37
2022-10-23,40
2022-10-30,41
2022-11-06,47
2022-11-13,49
2022-11-20,83
2022-11-27,57
2022-12-04,67
2022-12-11,68
2022-12-18,65
2022-12-25,70
