date,ropa vintage
2017-12-31,87
2018-01-07,88
2018-01-14,72
2018-01-21,79
2018-01-28,76
2018-02-04,60
2018-02-11,75
2018-02-18,86
2018-02-25,56
2018-03-04,68
2018-03-11,85
2018-03-18,67
2018-03-25,100
2018-04-01,80
2018-04-08,63
2018-04-15,66
2018-04-22,70
2018-04-29,85
2018-05-06,62
2018-05-13,64
2018-05-20,52
2018-05-27,41
2018-06-03,57
2018-06-10,46
2018-06-17,56
2018-06-24,35
2018-07-01,48
2018-07-08,56
2018-07-15,38
2018-07-22,47
2018-07-29,55
2018-08-05,75
2018-08-12,75
2018-08-19,70
2018-08-26,68
2018-09-02,77
2018-09-09,69
2018-09-16,67
2018-09-23,58
2018-09-30,72
2018-10-07,72
2018-10-14,78
2018-10-21,60
2018-10-28,76
2018-11-04,59
2018-11-11,58
2018-11-18,69
2018-11-25,64
2018-12-02,70
2018-12-09,54
2018-12-16,45
2018-12-23,65
2018-12-30,75
