date,pull and bear
2023-01-01,100
2023-01-08,76
2023-01-15,60
2023-01-22,60
2023-01-29,53
2023-02-05,45
2023-02-12,35
2023-02-19,37
2023-02-26,34
2023-03-05,34
2023-03-12,36
2023-03-19,39
2023-03-26,41
2023-04-02,43
2023-04-09,39
2023-04-16,35
2023-04-23,36
2023-04-30,42
2023-05-07,36
2023-05-14,32
2023-05-21,30
2023-05-28,32
2023-06-04,38
2023-06-11,38
2023-06-18,70
2023-06-25,56
2023-07-02,53
2023-07-09,42
2023-07-16,38
2023-07-23,36
2023-07-30,38
2023-08-06,35
2023-08-13,29
2023-08-20,30
2023-08-27,32
2023-09-03,32
2023-09-10,30
2023-09-17,33
2023-09-24,33
2023-10-01,30
2023-10-08,34
2023-10-15,35
2023-10-22,42
2023-10-29,46
2023-11-05,45
2023-11-12,46
2023-11-19,84
2023-11-26,59
2023-12-03,67
2023-12-10,67
2023-12-17,67
2023-12-24,79
2023-12-31,74
