date,stradivarius
2017-01-01,68
2017-01-08,60
2017-01-15,45
2017-01-22,38
2017-01-29,43
2017-02-05,36
2017-02-12,35
2017-02-19,31
2017-02-26,32
2017-03-05,35
2017-03-12,35
2017-03-19,33
2017-03-26,36
2017-04-02,41
2017-04-09,37
2017-04-16,37
2017-04-23,34
2017-04-30,34
2017-05-07,35
2017-05-14,36
2017-05-21,41
2017-05-28,37
2017-06-04,37
2017-06-11,38
2017-06-18,34
2017-06-25,56
2017-07-02,49
2017-07-09,39
2017-07-16,33
2017-07-23,32
2017-07-30,33
2017-08-06,33
2017-08-13,27
2017-08-20,30
2017-08-27,37
2017-09-03,34
2017-09-10,38
2017-09-17,39
2017-09-24,39
2017-10-01,38
2017-10-08,37
2017-10-15,38
2017-10-22,40
2017-10-29,44
2017-11-05,47
2017-11-12,46
2017-11-19,100
2017-11-26,50
2017-12-03,57
2017-12-10,53
2017-12-17,52
2017-12-24,57
2017-12-31,59
