date,streetwear
2014-12-28,0
2015-01-04,0
2015-01-11,0
2015-01-18,0
2015-01-25,68
2015-02-01,77
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,67
2015-04-12,72
2015-04-19,72
2015-04-26,86
2015-05-03,0
2015-05-10,0
2015-05-17,0
2015-05-24,0
2015-05-31,76
2015-06-07,0
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,0
2015-07-12,82
2015-07-19,0
2015-07-26,0
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,73
2015-09-06,0
2015-09-13,86
2015-09-20,100
2015-09-27,56
2015-10-04,84
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,86
2015-11-08,62
2015-11-15,0
2015-11-22,67
2015-11-29,0
2015-12-06,71
2015-12-13,0
2015-12-20,70
2015-12-27,91
