date,zara
2017-12-31,66
2018-01-07,83
2018-01-14,59
2018-01-21,52
2018-01-28,44
2018-02-04,42
2018-02-11,40
2018-02-18,38
2018-02-25,40
2018-03-04,38
2018-03-11,39
2018-03-18,42
2018-03-25,39
2018-04-01,42
2018-04-08,44
2018-04-15,46
2018-04-22,44
2018-04-29,45
2018-05-06,43
2018-05-13,42
2018-05-20,42
2018-05-27,38
2018-06-03,40
2018-06-10,40
2018-06-17,42
2018-06-24,61
2018-07-01,53
2018-07-08,44
2018-07-15,42
2018-07-22,40
2018-07-29,39
2018-08-05,37
2018-08-12,37
2018-08-19,36
2018-08-26,39
2018-09-02,42
2018-09-09,40
2018-09-16,41
2018-09-23,42
2018-09-30,49
2018-10-07,51
2018-10-14,52
2018-10-21,48
2018-10-28,54
2018-11-04,50
2018-11-11,50
2018-11-18,100
2018-11-25,54
2018-12-02,53
2018-12-09,58
2018-12-16,53
2018-12-23,56
2018-12-30,53
