date,mango
2017-12-31,56
2018-01-07,55
2018-01-14,40
2018-01-21,38
2018-01-28,36
2018-02-04,32
2018-02-11,33
2018-02-18,33
2018-02-25,35
2018-03-04,33
2018-03-11,33
2018-03-18,36
2018-03-25,35
2018-04-01,36
2018-04-08,39
2018-04-15,38
2018-04-22,42
2018-04-29,42
2018-05-06,37
2018-05-13,39
2018-05-20,35
2018-05-27,34
2018-06-03,33
2018-06-10,36
2018-06-17,48
2018-06-24,50
2018-07-01,41
2018-07-08,38
2018-07-15,33
2018-07-22,31
2018-07-29,32
2018-08-05,31
2018-08-12,29
2018-08-19,31
2018-08-26,32
2018-09-02,33
2018-09-09,35
2018-09-16,34
2018-09-23,33
2018-09-30,40
2018-10-07,44
2018-10-14,42
2018-10-21,41
2018-10-28,46
2018-11-04,43
2018-11-11,42
2018-11-18,100
2018-11-25,54
2018-12-02,45
2018-12-09,48
2018-12-16,43
2018-12-23,59
2018-12-30,63
