date,mango
2021-12-26,63
2022-01-02,69
2022-01-09,53
2022-01-16,45
2022-01-23,45
2022-01-30,44
2022-02-06,44
2022-02-13,42
2022-02-20,42
2022-02-27,43
2022-03-06,42
2022-03-13,41
2022-03-20,43
2022-03-27,46
2022-04-03,50
2022-04-10,45
2022-04-17,47
2022-04-24,50
2022-05-01,55
2022-05-08,57
2022-05-15,56
2022-05-22,52
2022-05-29,51
2022-06-05,51
2022-06-12,51
2022-06-19,66
2022-06-26,52
2022-07-03,47
2022-07-10,44
2022-07-17,43
2022-07-24,43
2022-07-31,42
2022-08-07,39
2022-08-14,37
2022-08-21,40
2022-08-28,42
2022-09-04,42
2022-09-11,43
2022-09-18,47
2022-09-25,57
2022-10-02,59
2022-10-09,51
2022-10-16,48
2022-10-23,44
2022-10-30,50
2022-11-06,54
2022-11-13,60
2022-11-20,100
2022-11-27,66
2022-12-04,65
2022-12-11,59
2022-12-18,54
2022-12-25,66
