date,mango
2017-01-01,75
2017-01-08,57
2017-01-15,47
2017-01-22,40
2017-01-29,37
2017-02-05,36
2017-02-12,35
2017-02-19,34
2017-02-26,34
2017-03-05,37
2017-03-12,36
2017-03-19,37
2017-03-26,39
2017-04-02,40
2017-04-09,37
2017-04-16,38
2017-04-23,37
2017-04-30,38
2017-05-07,38
2017-05-14,40
2017-05-21,42
2017-05-28,39
2017-06-04,37
2017-06-11,41
2017-06-18,42
2017-06-25,69
2017-07-02,49
2017-07-09,43
2017-07-16,35
2017-07-23,34
2017-07-30,35
2017-08-06,33
2017-08-13,31
2017-08-20,37
2017-08-27,42
2017-09-03,40
2017-09-10,40
2017-09-17,44
2017-09-24,41
2017-10-01,40
2017-10-08,40
2017-10-15,37
2017-10-22,38
2017-10-29,45
2017-11-05,49
2017-11-12,49
2017-11-19,100
2017-11-26,62
2017-12-03,49
2017-12-10,47
2017-12-17,45
2017-12-24,59
2017-12-31,63
