date,shein
2024-12-29,74
2025-01-05,84
2025-01-12,82
2025-01-19,85
2025-01-26,80
2025-02-02,86
2025-02-09,77
2025-02-16,76
2025-02-23,72
2025-03-02,75
2025-03-09,77
2025-03-16,77
2025-03-23,85
2025-03-30,81
2025-04-06,76
2025-04-13,75
2025-04-20,78
2025-04-27,79
2025-05-04,80
2025-05-11,81
2025-05-18,88
2025-05-25,100
2025-06-01,98
2025-06-08,92
2025-06-15,87
2025-06-22,81
2025-06-29,89
2025-07-06,83
2025-07-13,83
2025-07-20,75
2025-07-27,78
2025-08-03,75
2025-08-10,72
2025-08-17,66
2025-08-24,68
2025-08-31,67
2025-09-07,63
2025-09-14,62
2025-09-21,68
2025-09-28,71
2025-10-05,76
2025-10-12,73
2025-10-19,69
2025-10-26,65
2025-11-02,88
2025-11-09,90
