date,moda sostenible
2023-12-31,45
2024-01-07,0
2024-01-14,41
2024-01-21,40
2024-01-28,58
2024-02-04,54
2024-02-11,54
2024-02-18,63
2024-02-25,62
2024-03-03,76
2024-03-10,51
2024-03-17,45
2024-03-24,53
2024-03-31,0
2024-04-07,60
2024-04-14,100
2024-04-21,97
2024-04-28,47
2024-05-05,60
2024-05-12,66
2024-05-19,100
2024-05-26,58
2024-06-02,53
2024-06-09,45
2024-06-16,67
2024-06-23,50
2024-06-30,39
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,0
2024-08-18,0
2024-08-25,0
2024-09-01,42
2024-09-08,0
2024-09-15,62
2024-09-22,40
2024-09-29,54
2024-10-06,0
2024-10-13,57
2024-10-20,72
2024-10-27,57
2024-11-03,52
2024-11-10,0
2024-11-17,61
2024-11-24,49
2024-12-01,0
2024-12-08,54
2024-12-15,0
2024-12-22,0
2024-12-29,0
