date,choni
2015-12-27,88
2016-01-03,74
2016-01-10,67
2016-01-17,72
2016-01-24,86
2016-01-31,100
2016-02-07,77
2016-02-14,72
2016-02-21,65
2016-02-28,74
2016-03-06,68
2016-03-13,58
2016-03-20,67
2016-03-27,59
2016-04-03,61
2016-04-10,63
2016-04-17,68
2016-04-24,54
2016-05-01,70
2016-05-08,86
2016-05-15,68
2016-05-22,59
2016-05-29,60
2016-06-05,70
2016-06-12,56
2016-06-19,62
2016-06-26,50
2016-07-03,57
2016-07-10,57
2016-07-17,68
2016-07-24,73
2016-07-31,59
2016-08-07,61
2016-08-14,74
2016-08-21,68
2016-08-28,57
2016-09-04,86
2016-09-11,84
2016-09-18,54
2016-09-25,59
2016-10-02,64
2016-10-09,58
2016-10-16,73
2016-10-23,59
2016-10-30,62
2016-11-06,55
2016-11-13,55
2016-11-20,54
2016-11-27,51
2016-12-04,62
2016-12-11,49
2016-12-18,67
2016-12-25,71
